,prefix,lr,bsz,dev_performance,test_performance
0,glue-qqp_16_100,0.5,8,0.71875,0.5326242888943854
1,glue-qqp_16_100,0.4,8,0.65625,0.5411080880534257
2,glue-qqp_16_100,0.3,8,0.625,0.4600544150383379
3,glue-qqp_16_100,0.2,8,0.625,0.513356418501113
4,glue-qqp_16_100_best,0.5,8,0.71875,0.5326242888943854
5,glue-qqp_16_13,0.5,8,0.625,0.6101409844175117
6,glue-qqp_16_13,0.4,8,0.65625,0.6061835270838486
7,glue-qqp_16_13,0.3,8,0.65625,0.5874845411822904
8,glue-qqp_16_13,0.2,8,0.625,0.5898837496908237
9,glue-qqp_16_13_best,0.4,8,0.65625,0.6061835270838486
10,glue-qqp_16_21,0.5,8,0.6875,0.591788276032649
11,glue-qqp_16_21,0.4,8,0.6875,0.5624288894385358
12,glue-qqp_16_21,0.3,8,0.59375,0.4598812762799901
13,glue-qqp_16_21,0.2,8,0.625,0.44704427405392033
14,glue-qqp_16_21_best,0.5,8,0.6875,0.591788276032649
15,glue-qqp_16_42,0.5,8,0.71875,0.5481573089290132
16,glue-qqp_16_42,0.4,8,0.6875,0.5875587435072965
17,glue-qqp_16_42,0.3,8,0.71875,0.5544892406628741
18,glue-qqp_16_42,0.2,8,0.71875,0.5307197625525599
19,glue-qqp_16_42_best,0.5,8,0.71875,0.5481573089290132
20,glue-qqp_16_87,0.5,8,0.65625,0.5557012119713084
21,glue-qqp_16_87,0.4,8,0.625,0.5504575810042048
22,glue-qqp_16_87,0.3,8,0.65625,0.5653722483304476
23,glue-qqp_16_87,0.2,8,0.65625,0.5175612169181301
24,glue-qqp_16_87_best,0.5,8,0.65625,0.5557012119713084
