,prefix,lr,bsz,dev_performance,test_performance
0,glue-qqp_16_100,0.5,8,0.53125,0.36923076923076925
1,glue-qqp_16_100,0.4,8,0.65625,0.5672520405639376
2,glue-qqp_16_100,0.3,8,0.53125,0.36829087311402425
3,glue-qqp_16_100,0.2,8,0.5625,0.495424189957952
4,glue-qqp_16_100_best,0.4,8,0.65625,0.5672520405639376
5,glue-qqp_16_13,0.5,8,0.59375,0.5048478852337374
6,glue-qqp_16_13,0.4,8,0.5,0.5465743259955479
7,glue-qqp_16_13,0.3,8,0.59375,0.5374721741281226
8,glue-qqp_16_13,0.2,8,0.5,0.4235963393519664
9,glue-qqp_16_13_best,0.5,8,0.59375,0.5048478852337374
10,glue-qqp_16_21,0.5,8,0.65625,0.38147415285678954
11,glue-qqp_16_21,0.4,8,0.0,0.0
12,glue-qqp_16_21,0.3,8,0.59375,0.5283947563690329
13,glue-qqp_16_21,0.2,8,0.71875,0.40249814494187486
14,glue-qqp_16_21_best,0.2,8,0.71875,0.40249814494187486
15,glue-qqp_16_42,0.5,8,0.625,0.5444471926787039
16,glue-qqp_16_42,0.4,8,0.75,0.6324016819193669
17,glue-qqp_16_42,0.3,8,0.5,0.28805342567400444
18,glue-qqp_16_42,0.2,8,0.59375,0.47155577541429633
19,glue-qqp_16_42_best,0.4,8,0.75,0.6324016819193669
20,glue-qqp_16_87,0.5,8,0.65625,0.5616126638634678
21,glue-qqp_16_87,0.4,8,0.59375,0.5437299035369775
22,glue-qqp_16_87,0.3,8,0.71875,0.5624536235468711
23,glue-qqp_16_87,0.2,8,0.65625,0.3446450655453871
24,glue-qqp_16_87_best,0.3,8,0.71875,0.5624536235468711
