,prefix,lr,bsz,dev_performance,test_performance
0,medical_questions_pairs_16_100,0.5,8,0.53125,0.4967213114754098
1,medical_questions_pairs_16_100,0.4,8,0.6875,0.6098360655737705
2,medical_questions_pairs_16_100,0.3,8,0.5,0.0
3,medical_questions_pairs_16_100,0.2,8,0.65625,0.4918032786885246
4,medical_questions_pairs_16_100_best,0.4,8,0.6875,0.6098360655737705
5,medical_questions_pairs_16_13,0.5,8,0.5,0.5655737704918032
6,medical_questions_pairs_16_13,0.4,8,0.5,0.5737704918032787
7,medical_questions_pairs_16_13,0.3,8,0.5,0.5770491803278689
8,medical_questions_pairs_16_13,0.2,8,0.5625,0.5393442622950819
9,medical_questions_pairs_16_13_best,0.2,8,0.5625,0.5393442622950819
10,medical_questions_pairs_16_21,0.5,8,0.59375,0.5163934426229508
11,medical_questions_pairs_16_21,0.4,8,0.5625,0.48360655737704916
12,medical_questions_pairs_16_21,0.3,8,0.5625,0.5442622950819672
13,medical_questions_pairs_16_21,0.2,8,0.59375,0.5180327868852459
14,medical_questions_pairs_16_21_best,0.5,8,0.59375,0.5163934426229508
15,medical_questions_pairs_16_42,0.5,8,0.5,0.5114754098360655
16,medical_questions_pairs_16_42,0.4,8,0.5,0.45901639344262296
17,medical_questions_pairs_16_42,0.3,8,0.5,0.29180327868852457
18,medical_questions_pairs_16_42,0.2,8,0.5,0.4852459016393443
19,medical_questions_pairs_16_42_best,0.5,8,0.5,0.5114754098360655
20,medical_questions_pairs_16_87,0.5,8,0.625,0.5163934426229508
21,medical_questions_pairs_16_87,0.4,8,0.65625,0.5360655737704918
22,medical_questions_pairs_16_87,0.3,8,0.6875,0.5459016393442623
23,medical_questions_pairs_16_87,0.2,8,0.65625,0.5426229508196722
24,medical_questions_pairs_16_87_best,0.3,8,0.6875,0.5459016393442623
