,prefix,lr,bsz,dev_performance,test_performance
0,paws_16_100,0.5,8,0.5933528836754642,0.30669902071236677
1,paws_16_100,0.4,8,0.5835835835835835,0.366539680177483
2,paws_16_100,0.3,8,0.5901477832512315,0.32779954413705586
3,paws_16_100,0.2,8,0.6559139784946237,0.24662840553180462
4,paws_16_100_best,0.2,8,0.6559139784946237,0.24662840553180462
5,paws_16_13,0.5,8,0.5636363636363637,0.30669902071236677
6,paws_16_13,0.4,8,0.5555555555555556,0.495563445331814
7,paws_16_13,0.3,8,0.6235294117647059,0.35369475100433945
8,paws_16_13,0.2,8,0.5733333333333335,0.33403060135955737
9,paws_16_13_best,0.3,8,0.6235294117647059,0.35369475100433945
10,paws_16_21,0.5,8,0.0065359477124183,0.00011660367578318588
11,paws_16_21,0.4,8,0.6559139784946237,0.4512414601220138
12,paws_16_21,0.3,8,0.5607843137254902,0.1601245591444916
13,paws_16_21,0.2,8,0.6190476190476191,0.29621072660111186
14,paws_16_21_best,0.4,8,0.6559139784946237,0.4512414601220138
15,paws_16_42,0.5,8,0.625,0.3112253037922758
16,paws_16_42,0.4,8,0.4980392156862745,0.34142399083185804
17,paws_16_42,0.3,8,0.5733333333333335,0.46992281474656655
18,paws_16_42,0.2,8,0.6862745098039216,0.19800647999302817
19,paws_16_42_best,0.2,8,0.6862745098039216,0.19800647999302817
20,paws_16_87,0.5,8,0.6235294117647059,0.24967121711131512
21,paws_16_87,0.4,8,0.7702564102564102,0.24485854642873564
22,paws_16_87,0.3,8,0.6875,0.478145652729004
23,paws_16_87,0.2,8,0.5134502923976608,0.48292873587324886
24,paws_16_87_best,0.4,8,0.7702564102564102,0.24485854642873564
