,prefix,lr,bsz,dev_performance,test_performance
0,glue-mrpc_16_100,0.5,8,0.59375,0.3382352941176471
1,glue-mrpc_16_100,0.4,8,0.5625,0.6813725490196079
2,glue-mrpc_16_100,0.3,8,0.5,0.6838235294117647
3,glue-mrpc_16_100,0.2,8,0.5,0.6666666666666666
4,glue-mrpc_16_100_best,0.5,8,0.59375,0.3382352941176471
5,glue-mrpc_16_13,0.5,8,0.65625,0.6862745098039216
6,glue-mrpc_16_13,0.4,8,0.65625,0.5735294117647058
7,glue-mrpc_16_13,0.3,8,0.5625,0.3553921568627451
8,glue-mrpc_16_13,0.2,8,0.53125,0.6838235294117647
9,glue-mrpc_16_13_best,0.5,8,0.65625,0.6862745098039216
10,glue-mrpc_16_21,0.5,8,0.53125,0.6715686274509803
11,glue-mrpc_16_21,0.4,8,0.53125,0.6813725490196079
12,glue-mrpc_16_21,0.3,8,0.59375,0.6568627450980392
13,glue-mrpc_16_21,0.2,8,0.09375,0.11029411764705882
14,glue-mrpc_16_21_best,0.3,8,0.59375,0.6568627450980392
15,glue-mrpc_16_42,0.5,8,0.65625,0.32598039215686275
16,glue-mrpc_16_42,0.4,8,0.75,0.5147058823529411
17,glue-mrpc_16_42,0.3,8,0.59375,0.6642156862745098
18,glue-mrpc_16_42,0.2,8,0.5,0.6838235294117647
19,glue-mrpc_16_42_best,0.4,8,0.75,0.5147058823529411
20,glue-mrpc_16_87,0.5,8,0.5625,0.678921568627451
21,glue-mrpc_16_87,0.4,8,0.53125,0.6838235294117647
22,glue-mrpc_16_87,0.3,8,0.53125,0.6813725490196079
23,glue-mrpc_16_87,0.2,8,0.53125,0.6764705882352942
24,glue-mrpc_16_87_best,0.5,8,0.5625,0.678921568627451
