,prefix,lr,bsz,dev_performance,test_performance
0,glue-qqp_16_100,0.5,8,0.5,0.3683650754390304
1,glue-qqp_16_100,0.4,8,0.53125,0.3681424684640119
2,glue-qqp_16_100,0.3,8,0.5,0.36816720257234725
3,glue-qqp_16_100,0.2,8,0.5,0.36816720257234725
4,glue-qqp_16_100_best,0.4,8,0.53125,0.3681424684640119
5,glue-qqp_16_13,0.5,8,0.5,0.3823151125401929
6,glue-qqp_16_13,0.4,8,0.5,0.36821667078901804
7,glue-qqp_16_13,0.3,8,0.5,0.36834034133069504
8,glue-qqp_16_13,0.2,8,0.5,0.36816720257234725
9,glue-qqp_16_13_best,0.5,8,0.5,0.3823151125401929
10,glue-qqp_16_21,0.5,8,0.5,0.3699727924808311
11,glue-qqp_16_21,0.4,8,0.5,0.36816720257234725
12,glue-qqp_16_21,0.3,8,0.5,0.3681919366806827
13,glue-qqp_16_21,0.2,8,0.5,0.36816720257234725
14,glue-qqp_16_21_best,0.5,8,0.5,0.3699727924808311
15,glue-qqp_16_42,0.5,8,0.65625,0.629656195894138
16,glue-qqp_16_42,0.4,8,0.5,0.36816720257234725
17,glue-qqp_16_42,0.3,8,0.5,0.36816720257234725
18,glue-qqp_16_42,0.2,8,0.5,0.36816720257234725
19,glue-qqp_16_42_best,0.5,8,0.65625,0.629656195894138
20,glue-qqp_16_87,0.5,8,0.53125,0.6081622557506802
21,glue-qqp_16_87,0.4,8,0.5,0.36816720257234725
22,glue-qqp_16_87,0.3,8,0.53125,0.3694286420974524
23,glue-qqp_16_87,0.2,8,0.5,0.36777145683898094
24,glue-qqp_16_87_best,0.5,8,0.53125,0.6081622557506802
