,prefix,lr,bsz,dev_performance,test_performance
0,medical_questions_pairs_16_100,0.5,8,0.5,0.48360655737704916
1,medical_questions_pairs_16_100,0.4,8,0.5625,0.49836065573770494
2,medical_questions_pairs_16_100,0.3,8,0.59375,0.47540983606557374
3,medical_questions_pairs_16_100,0.2,8,0.53125,0.47540983606557374
4,medical_questions_pairs_16_100_best,0.3,8,0.59375,0.47540983606557374
5,medical_questions_pairs_16_13,0.5,8,0.5625,0.4852459016393443
6,medical_questions_pairs_16_13,0.4,8,0.5,0.48360655737704916
7,medical_questions_pairs_16_13,0.3,8,0.53125,0.48360655737704916
8,medical_questions_pairs_16_13,0.2,8,0.59375,0.48360655737704916
9,medical_questions_pairs_16_13_best,0.2,8,0.59375,0.48360655737704916
10,medical_questions_pairs_16_21,0.5,8,0.53125,0.48360655737704916
11,medical_questions_pairs_16_21,0.4,8,0.6875,0.48360655737704916
12,medical_questions_pairs_16_21,0.3,8,0.65625,0.49508196721311476
13,medical_questions_pairs_16_21,0.2,8,0.5,0.5163934426229508
14,medical_questions_pairs_16_21_best,0.4,8,0.6875,0.48360655737704916
15,medical_questions_pairs_16_42,0.5,8,0.65625,0.5245901639344263
16,medical_questions_pairs_16_42,0.4,8,0.53125,0.5081967213114754
17,medical_questions_pairs_16_42,0.3,8,0.65625,0.48360655737704916
18,medical_questions_pairs_16_42,0.2,8,0.5,0.47704918032786886
19,medical_questions_pairs_16_42_best,0.5,8,0.65625,0.5245901639344263
20,medical_questions_pairs_16_87,0.5,8,0.59375,0.519672131147541
21,medical_questions_pairs_16_87,0.4,8,0.5625,0.5065573770491804
22,medical_questions_pairs_16_87,0.3,8,0.53125,0.5114754098360655
23,medical_questions_pairs_16_87,0.2,8,0.5,0.5147540983606558
24,medical_questions_pairs_16_87_best,0.5,8,0.59375,0.519672131147541
