,prefix,lr,bsz,dev_performance,test_performance
0,emo_16_100,0.5,8,0.7506465517241379,0.24750597265727342
1,emo_16_100,0.4,8,0.746937386569873,0.1904288427887987
2,emo_16_100,0.3,8,0.7822219620240812,0.23014322597081135
3,emo_16_100,0.2,8,0.7950159210935073,0.21113721506441593
4,emo_16_100_best,0.2,8,0.7950159210935073,0.21113721506441593
5,emo_16_13,0.5,8,0.843987191650854,0.28212873232485913
6,emo_16_13,0.4,8,0.8286137234413096,0.29618875653906285
7,emo_16_13,0.3,8,0.8438466983517039,0.23419263322787093
8,emo_16_13,0.2,8,0.8439393939393939,0.2670711304702276
9,emo_16_13_best,0.5,8,0.843987191650854,0.28212873232485913
10,emo_16_21,0.5,8,0.7631200022091862,0.21414526570040754
11,emo_16_21,0.4,8,0.7162312312312312,0.20523762378869487
12,emo_16_21,0.3,8,0.725043657788223,0.31344093577014415
13,emo_16_21,0.2,8,0.7166424893756129,0.22642401630529044
14,emo_16_21_best,0.5,8,0.7631200022091862,0.21414526570040754
15,emo_16_42,0.5,8,0.841421568627451,0.28036710557547045
16,emo_16_42,0.4,8,0.8415854978354979,0.20872164188101128
17,emo_16_42,0.3,8,0.8415854978354979,0.24704082367986177
18,emo_16_42,0.2,8,0.8388091347650171,0.22156809407591388
19,emo_16_42_best,0.4,8,0.8415854978354979,0.20872164188101128
20,emo_16_87,0.5,8,0.8172303319362143,0.15841407441802316
21,emo_16_87,0.4,8,0.8165584415584416,0.24280785888695
22,emo_16_87,0.3,8,0.806336898395722,0.15259144354801024
23,emo_16_87,0.2,8,0.7813472039814752,0.16159475406393686
24,emo_16_87_best,0.5,8,0.8172303319362143,0.15841407441802316
