,prefix,lr,bsz,dev_performance,test_performance
0,yelp_polarity_16_100,0.5,8,1.0,0.9427958417863126
1,yelp_polarity_16_100,0.4,8,1.0,0.9463621114801399
2,yelp_polarity_16_100,0.3,8,1.0,0.9365157199223468
3,yelp_polarity_16_100,0.2,8,1.0,0.9468979577195187
4,yelp_polarity_16_100_best,0.5,8,1.0,0.9427958417863126
5,yelp_polarity_16_13,0.5,8,0.9372549019607843,0.95328306709097
6,yelp_polarity_16_13,0.4,8,0.9372549019607843,0.9535473549895446
7,yelp_polarity_16_13,0.3,8,0.9372549019607843,0.95328539667044
8,yelp_polarity_16_13,0.2,8,0.9372549019607843,0.9555211378831566
9,yelp_polarity_16_13_best,0.5,8,0.9372549019607843,0.95328306709097
