summarize: Calpine - Meet with Calpine to discuss Red Rock FT.  Calpine has been allocated 33,529 MMBtu out of their 40,000 MMBtu Red Rock contract for receipts from the West Texas Pool. They have indicated this is not satisfactory and may pursue (I'm not sure how) this in the future. We are still working towards designating specific receipt points for their entire MDQ. SoCal - Jeff Dasovitch made initial contact with the CPUC about SoCal's unwillingness to confirm TW volumes at the SoCal Topock point on an alternate basis. He would like TW to continue in its efforts to keep these discussions going as well. (Rick Ishikawa is out on vacation this week and I have a call into him.) This week, Richardson Products contacted So Cal about this issue as well. Calpine is also interested in having the flexibility under its Red Rock contract to deliver gas to Socal Topock (on an alternate basis) and is meeting with SoCal next week and will discuss this with them. OBAs - I have made initial contact with all my volumetric OBA parties to begin discussions on resolving payback and going forward on the tariff OBA. Lorraine 	Bullets
summarize: Attached is the confirmation for Tomahawk Energy, Inc. and the general terms  and conditions. Please review and give your comments to Bob. I will be out  of the office this afternoon. Stacy 	Tomahawk Confirmation
summarize: I show no sales to CES for the month of July. I created deal 315460 to  bookout with deal 217769 and deal 315471 to bookout with deal 223967. Please  let me know if you have any questions. 	CES Deals for July
summarize: For December 21, 2000 activity, I reported a weighted average price of $16.00  for activity for December 22-26, 2000. The weighted average trade price via Enron Online will reflect a price of  $15.76, but coupled with the volume not transacted online, this price was  estimated to be a $16.00 midpoint. Specificially the following trades were  transacted over the telephone:  Nicor Gas Company  $18.16  20,000  Via ANR @ Hampshire Altrade    GDD +.05 10,000  NGPL Nicor WPS    GDD    5,000  NGPL Nicor Nicor Gas Company  $12.00  20,000  NGPL Nicor PG&E    $14.00   9,000  NGPL Nicor Kaztex    $18.16       4,000  NBPL/Nicor    The reason for the interest in this time period is as follows:  Nicor Gas Company observed their company holiday on December 22nd, while most  companies observed the company holiday on December 26th. As a result,  volumes were traded for the December 22-26 time period. Gas Daily published  a price of $15.70 for the December 22-26 time period. Nicor Gas Company made  a decision to buy gas on December 22nd for the December 23-26 time period. I  received several phone calls from various marketing companies expressing  concern that Gas Daily was going to revise the posting, based on the minimal  activity that transacted on December 22nd. While, my practice is to simply take the price as reported on Enron Online,  from time-to-time, the there will be significant volumes transacted over the  telephone that will impact the Enron Online price. My volume  is a little  over-stated, but simply  from a cursory glance standpoint, as opposed to  intentionally reporting erroneous information. 	Chicago Midpoint pricing for December 21, 22, and 23, 2000
summarize: Hi Bart,  I think this is at least close to the final draft. It ain't pretty but it  seemed to work. You won't hurt my feelings if you make massive revisions, so  long as I get a copy of the new-and-improved version. Kay 	equipment option
summarize: I want to ask a question for e:speak today but I don't want my name put on the question. There are some internet gurus working on e:mail from Mars. I would like to know if Enron has plans on getting involved in  interplanetary communication. Tomorrow will be here faster than you think! Thank you for your valued and important time and my privacy. Diana 	CONFIDENTIAL
summarize: =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                    IntercontinentalExchange                =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                             =20                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                    Firm Physical Natural Gas Price Bulletin                =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                             =20                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                    For Natural Gas Delivered on Saturday, October   27, 200= 1 thru Monday, October   29, 2001                                          =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                   =20                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                    (Trade Date of Friday, October   26, 200= 1)                                                                         =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                           =20 Click here to access index history . =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                     =20                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                    * volume represents sell-side only *    =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                           =20  Region     Hub=09High=09Low=09Wtd Avg Index=09Change ($)=09Vol (mmBtu)=09Hu= b Name=09  LOUISIANA =09=09=09=09=09=09=09     ANR SE=09          $3.0700=09          $2.9800=09          $3.0139=09- =    .1067=09         667,500=09American Natural Resources Pipeline Co. - SE =  Transmission Pool=09     Columbia Onshore=09          $3.0900=09          $3.0050=09          $3= .0530=09-    .0677=09         438,300=09Columbia Gulf Transmission Co. - On= shore Pool =09     Henry Hub=09          $3.1100=09          $3.0000=09          $3.0478= =09-    .0936=09       4,043,400=09Henry Hub tailgate - Louisiana =09     NGPL LA=09          $3.0400=09          $2.9400=09          $2.9948=09-=     .1135=09         716,100=09Natural Gas Pipeline Co. of America, Louisia= na Pool =09     Tenn 500L=09          $3.1750=09          $3.0150=09          $3.0430= =09-    .1074=09         636,900=09Tennessee Gas Pipeline Co.-Zone L, 500 L= eg Pool =09     Tenn 800L=09          $3.0450=09          $2.9800=09          $3.0225= =09-    .1136=09         302,100=09Tennessee Gas Pipeline Co.-Zone L, 800 L= eg Pool =09     TETCO ELA=09          $3.0850=09          $3.0100=09          $3.0494= =09-    .1185=09         710,100=09Texas Eastern - East LA =09     TETCO WLA=09          $3.0600=09          $2.9900=09          $3.0244= =09-    .1228=09         106,500=09Texas Eastern - West LA =09     Transco 65=09          $3.1250=09          $3.0600=09          $3.0950= =09-    .0917=09         286,800=09Transco - Station 65 =09     Trunkline ELA=09          $3.0500=09          $2.9800=09          $3.01= 24=09-    .1426=09         193,500=09Trunkline Gas Company - East Louisiana=  Pool =09     TxGas SL=09          $3.0400=09          $3.0100=09          $3.0272=09= -    .0804=09         340,200=09Texas Gas Transmission Corp.-Zone SL FT Poo= l =09  MIDCONTINENT =09=09=09=09=09=09=09     MichCon, citygate=09          $3.2800=09          $3.1500=09          $= 3.2180=09-    .1793=09         465,000=09Michigan Consolidated =09     NGPL Midcont=09          $2.9700=09          $2.8400=09          $2.877= 0=09-    .1748=09         533,100=09Natural Gas Pipeline Co. of America, Mi= d-Continent Pool =09     NGPL Nicor, citygate=09          $3.2000=09          $3.0900=09        =   $3.1331=09-    .1582=09       1,325,400=09Natural Gas Pipeline Co. of Ame= rica, Nicor Citygate=09     NGPL NIPSCO, citygate=09          $3.1750=09          $3.1000=09       =    $3.1270=09-    .2090=09         160,500=09Natural Gas Pipeline Co. of Am= erica, Nipsco Citygate=09     NNG Demarcation=09          $3.0300=09          $2.9400=09          $2.= 9708=09-    .2654=09         841,500=09Northern Natural Gas, Demarcation Po= ol =09  NORTHEAST =09=09=09=09=09=09=09     Columbia TCO=09          $3.5150=09          $3.3350=09          $3.401= 5=09-    .0745=09       1,374,300=09Columbia Gas Co. - TCO Pool =09     Dominion So.Point=09          $3.4450=09          $3.3800=09          $= 3.4061=09-    .0991=09       1,158,000=09Dominion - South Point =09     TETCO M3=09          $3.5000=09          $3.4000=09          $3.4278=09= -    .2013=09         578,700=09Texas Eastern - M3 Zone =09     Transco Z-6 (NY)=09          $3.6700=09          $3.5000=09          $3= .5662=09+    .0203=09         797,700=09Transcontinental Gas Pipe Line Corp= . - Zone 6 (NY)=09  WEST =09=09=09=09=09=09=09     El Paso non-Bondad=09          $2.6400=09          $2.4200=09          = $2.5350=09-    .3942=09         669,000=09El Paso - San Juan Basin, Blanco = Pool=09     Huntingdon/Sumas=09          $2.6600=09          $2.5500=09          $2= .6000=09-    .3133=09         417,600=09Westcoast Energy & Northwest Pipeli= ne Corp.=09     Opal=09          $2.5400=09          $2.3900=09          $2.4346=09-   =  .4758=09         210,000=09Opal=09     PG?Citygate=09          $2.8200=09          $2.6600=09          $2.7522= =09-    .4946=09         351,000=09PG?- Citygate =09     SoCal Border=09          $2.8900=09          $2.7650=09          $2.830= 6=09-    .2531=09         188,400=09Southern California Border Points (Ehre= nberg,Topock,Needles)=09  WEST TEXAS =09=09=09=09=09=09=09     El Paso - Keystone=09          $2.8500=09          $2.6700=09          = $2.7158=09-    .2735=09         882,900=09El Paso - Keystone Pool=09     Waha=09          $2.8900=09          $2.7550=09          $2.8024=09-   =  .2190=09         477,600=09Waha Hub - West Texas =09                                                                              =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                    Includes all firm physical fixed price t= rades done from 7 AM to 11:30 AM Central Prevailing Time on the trade date = specified for natural gas delivered on the specified date(s). =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =        =20                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                        IntercontinentalExchange is the world's most liquid = trading platform for over-the-counter energy and metals. Active markets in= clude North American power and natural gas, global crude and refined oil pr= oducts, and precious metals. Traded instruments include forwards, swaps, a= nd options. =                                                                            =                                                                            =                                                                            =                                                                            =                             =20 In order to receive the proprietary information contained in this email, yo= u acknowledge and agree that you shall not further disseminate the Intercon= tinentalExchange Market Data contained herein to any person or entity witho= ut the express written consent of IntercontinentalExchange. Furthermore,=  you acknowledge that (1) IntercontinentalExchange has exclusive and valuab= le property rights in this data; (2) IntercontinentalExchange's data is bei= ng made available to you only for your own business or personal activities;=  and (3) you cannot communicate the data, in any form, to any other person = or entity without the express written consent of IntercontinentalExchange. =                =20 This data is provided to you free of charge. IntercontinentalExchange rese= rves the right to cancel this service at any time for any reason or no reas= on at all. =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                =20 You agree that IntercontinentalExchange does not make any representations o= r warranties, express or implied, with respect to the data. =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                          =20 To become an Exchange Participant or inquire about the indices, please cont= act sales@intcx.com . =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                 =20 To unsubscribe from this service, click here unsubscribe . =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                          = =20                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                ?Copyright IntercontinentalExchange, Inc. 20= 01, All Rights Reserved. =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            =                                                                            = 	Gas Indices
summarize: You lie like a dog. What an affront to say, "MY family lost a lot of money this year too." That's what you said at the Oct. 16 all-empoyee meeting. How disgusting. I am sure you have trouble finding health coverage. Can't keep up your jet-setting lifestyle anymore? Sure you can, you idiot! Cheers! See you in court. 	Thanks for your support
summarize: Please replace the prior version with these. I added some Wyoming Royalty  Statute language in both confirms. Let me know if you have any questions. 	Revised Confirms for Kennedy and Quantum
summarize: Vince-  Are you going over to the new building right away? The reason I ask is on the trading floor the workspaces are very small, and there is no room whatsoever for books (eg, econometrics texts). I think this revives the issue of a library. We used to have a wonderful one, then it went away. I was wondering if you could keep a thought in the back of your mind in terms of a place where people could go to find and read good textbooks. Thank you, 	new bldg- book space- library?
