What happened before going to the church ? [SEP] He even extended his hand to the pastor after the service , it was so funny . My daughter was baptized in this church 29 years too , so being able to see him baptized here as well made the day even more special . We ended the day with a delicious brunch after the service with a few family members and friends . The weather was beautiful . [SEP]  (A) None of the above choices . (B) Everyone enjoyed the weather (C) They drove in the car to get to the church (D) Everyone went to the park	They drove in the car to get to the church
Why are working class women activists rendered invisible and anonymous by history ? [SEP] harpymarx said : I saw Her Naked Skin last weekend ( and wrote my own review on my blog ) and thought it was very good but I have to say that I did n't think Eve was as a well developed character like Celia . We saw interactions between Celia and husband but what about Eve .... In some ways I saw Eve as a parallel with the whole of the Suffragette movement where the privileged Pankhursts ' along with other privileged women are remembered and at the forefront of the history but what about many of the working class women activists who have been rendered invisible and anonymous by history ? Very little trace is left . [SEP]  (A) Working class women activists are rendered invisible and anonymous by history because they are unimportant in the suffragette movement . (B) Working class women activists are rendered invisible and anonymous by history because they are not wealthy or distinguished enough by society . (C) Working class women activists are rendered invisible and anonymous by history because historians deem them to have minor impact on history . (D) Working class women activists are rendered invisible and anonymous by history because the wealthy elite try to downplay their role in suffrage .	Working class women activists are rendered invisible and anonymous by history because they are not wealthy or distinguished enough by society .
What may be your reason for going to the doctors on Monday ? [SEP] The jar went up my arms into my back and neck and left me with a headache all evening and I am now sporting very sore and bruised arms and both knees are sore . So I am going to take things easy for a while . Another thing that is concerning me is MLA has developed a twitch of shaking his head , he is even doing it in his sleep . So I am taking him to the doctors on Monday as he is getting so tired because of it . [SEP]  (A) I have a headache that wo n't go away . (B) Someone I know is starting to have an odd spasm . (C) I 'm starting to have an odd spasm . (D) My arms are bruised and I need to go to the doctors .	Someone I know is starting to have an odd spasm .
Was the game well known ? [SEP] The game came out in 2004 , so it 's understandable that there are n't very many ( or any , actually ) threads about it , but I ca n't even think of a single time I ' ve seen it referenced . Using the search function , I did find a few people mention the game in other threads , but not very many . I was actually inspired to write a review , which was posted up this Friday , September 19 . And it has generated little ( read : no ) interest . [SEP]  (A) It is common referenced . (B) I found a lot with the search function . (C) It generated a lot of interest . (D) There was n't anyone interested in it .	There was n't anyone interested in it .
What country does the person likely live in ? [SEP] Today when I drove to work , gas was up 7 cents from the day before . Not surprising , since oil went up so astronomically yesterday . ( Does anyone else find it strange that the oil price went UP while the lawmakers and big oil execs were meeting about how ridiculous the prices were ? ) [SEP]  (A) The United Kingdom (B) The United States (C) None of the above choices . (D) Belgium	The United States
What is the best way to describe this room from these choices ? [SEP] Even without being aware of his surroundings , he was sick of them . The biggest problem with his room was that it was too lonely . Leo finally stopped pacing to sweep his eyes over the vacant space . [SEP]  (A) It is problematic . (B) It is sick . (C) It is sad . (D) None of the above choices .	It is sad .
Why is the narrator taking a break with naps ? [SEP] there is an entire world that exists here that i am so completely removed from.today i laid in bed between classes , after lunch . dana was asleep , the window was open . and i thought about how you really can feel the movement of the air itself across your skin . [SEP]  (A) None of the above choices . (B) They are tired from exercise . (C) They are tired from family . (D) They are tired from studying .	They are tired from studying .
What may be the reason for leaving that amount for a tip ? [SEP] Lots of subtlety happening ( like how many people caught that the Joker knows who Batman really is ) . I 'll probably end up asking for the DVD for Xmas . Then we had dinner at Red Robin . I 'll leave it at I only tipped 10 % . That 's rare for me . So that left today to make up for all my avoiding work . [SEP]  (A) None of the above choices . (B) Excellent service . (C) Bad service . (D) Not enough money .	Bad service .
Why is the narrator so unsettled by developments . [SEP] then i see a fire truck outside ( well , the lights ) so we go to the back of the house and onto the deck ( which is on the side where we park on this side street ) ... anyway , we look down and this guys car engine is on fire ! someone came and set his car on fire ! ! my car was two in front of his , ahhh . [SEP]  (A) There is a fire in the car . (B) There is a fire in the house . (C) None of the above choices . (D) There is a fire in the upstairs .	There is a fire in the car .
What will happen with the narrator in the waiting room ? [SEP] At a few minutes to 8 I was just about to call her when another patient in the waiting room asked what time it was . She was like man , I had an appointment at 7:30 I wonder where she is . Being that late at night , there are not THAT many people in for appointments , and especially none that are waiting for any length of time , so I asked who she was there to see . Yep , same one as me . [SEP]  (A) There is no one else there to see their doctor so they 'll go in . (B) None of the above choices . (C) The narrator and other patient will go into the doctor 's office together . (D) They will have to wait longer .	They will have to wait longer .
Why is this person offering advice on how to best achieve one 's dream ? [SEP] Even if your dream is as simple as " take a nap two afternoons a week , " that 's worth fighting for . " Breathe " is about living in the moment - stopping to take a deep breath . I know I am always trying to remind myself to do this more often . [SEP]  (A) They are interested in being as helpful as possible , and this is their area of expertise (B) They are trying to set them up for failure by giving bad advice (C) They are just repeating something they heard on PBS to sound smart (D) None of the above choices .	They are interested in being as helpful as possible , and this is their area of expertise
Why did I mention murder ? [SEP] So I got a bike about a month ago . In fact I think it might ' ve been exactly a month ago . The thing was in the shop quite a bit since then , which is a bit annoying , but they finally got it to where the problems with it are more me not being totally in bike - shape yet ( like going up steep hills is MURDER . ) I wanted to get a recumbent bike , but they 're WAY the heck expensive , and only two places had decent ones and one of them was not really interested in , you know . [SEP]  (A) My new bike was used as a murder weapon . (B) The defective bike almost killed me at the hill . (C) None of the above choices . (D) I thought my heart and lung may not be able to catch up with the exercise intensity at the hill .	I thought my heart and lung may not be able to catch up with the exercise intensity at the hill .
What may have been the facility type they saw Melissa Ethridge in ? [SEP] For the first time , I saw a heat of pick - up trucks , and a driver that had a passenger ... a big , stuffed gorilla . There was one crash where a rear axle and one tire came off of a car . Sunday , we went to see Melissa Etheridge . She was FABULOUS ! [SEP]  (A) It would have been a fairly large place with concert stage capabilities . (B) They saw her at a small , casual cafe that served drinks at night . (C) They saw her at a mall where many singers have small concerts . (D) None of the above choices .	It would have been a fairly large place with concert stage capabilities .
What health risks does NOT come with her sleep schedule ? [SEP] Ahhhh ! Crappy sleeping schedule right here , right now . I barely slept the past two days or so because of all the last minute stuff I needed to do . I still ca n't really believe I ' m here . [SEP]  (A) None of the above choices . (B) Disorientation (C) Micro - sleep (D) Fever	Fever
What may be the reason for them having a hard day with the kids ? [SEP] It 's hard being one of the youth leaders at church . If someone MADE me do this , I think I would have quit long time ago . But I genuinely love these kids ... and it 's so much fun ! But this work was hard today ! [SEP]  (A) The kids were up late the night before . (B) The kids were not fed beforehand . (C) Kids act out when they come from troubled homes . (D) The kids needed a lesson on manners .	Kids act out when they come from troubled homes .
What is one thing we know about the narrator based on the passage ? [SEP] I am a completely different person . I ' m not just " good with God and everyone else , " I ' m starting to learn more about the actual relationship with God ... and truly , everyone else . Since then I ' ve started to realize more what 's important in my life and in those relationships , and I ' m constantly learning how to strengthen them all . [SEP]  (A) None of the above choices . (B) They have lots of close relationships . (C) They are becoming physically stronger . (D) Religion is starting to interest them more .	Religion is starting to interest them more .
What is the reason that knowing the terrain would help you dress ? [SEP] i would n't even go there for a blowjob , although i guess a lot of guys dowe had to walk quite a ways on a train track to get there . then we had to walk through some sticker bushes , and then on the beach itself . i wish i had known the terrain before hand , because i was not dressed for this at all . [SEP]  (A) If you knew there were bushes or that it was dirty or cold then you could wear long pants . (B) You can blend in and trick someone . (C) you will know what style hat will make your eyes pop . (D) You can match the color to your surroundings so you look pretty .	If you knew there were bushes or that it was dirty or cold then you could wear long pants .
What type of relationship do the two people share ? [SEP] More and more ideas keep flowing into my thoughts of what I am going to be doing with my delicious pet . Now be a good girl and go to the bedroom . Sit on the edge of the bed in a nice feminine pose and wait for me . " A huge smile came to my face . [SEP]  (A) They share an ideal relationship . (B) They share an animal as a pet . (C) None of the above choices . (D) They share a romantic relationship .	They share a romantic relationship .
What will happen after the incident ? [SEP] He is one of the rare cases where I loved the other person in the relationship more . ) He did n't recognize me , and so I pretended not to recognize him , either . Then I turned around for some reason , and he stepped up behind me and put a knife to my throat . [SEP]  (A) He will recognize me . (B) He will love me more . (C) I will love him less than he loves me . (D) My trust in him is damaged .	My trust in him is damaged .
What has the narrator been focusing on lately ? [SEP] Soon , I can accomplish nothing but cataloging my failures . It is difficult to right myself once this has begun , or even realize that it is happening . Once I do realized what I am doing to myself , I tend to hit the " paul is broken " motif which is a dead end . The ironic thing is that they are solvable problems . By me alone even . Case in point : I should have " the man " paid off by tuesday . It took me sitting down and sorting my finances and looking for the way to succeed , and then making it happen . [SEP]  (A) Their finances . (B) Money owed to them by their friend Paul . (C) Their design motif . (D) None of the above choices .	Their finances .
Why does the narrator believe he will surprise some people ? [SEP] But here 's some news you can file under rumor and scandal : I had a conversation with a Mac developer who helped design the iPod and I asked him as what he saw as the next big thing . Well he told me that Google may be buying Yahoo - yeah that pretty much shocked the crap out of me . And if happens then , you read it here first . [SEP]  (A) The news he is sharing is not public knowledge . (B) None of the above choices . (C) The news he is sharing is about the new iPod . (D) The news he is sharing is about Mac computers .	The news he is sharing is not public knowledge .
What may be the reason for putting Soft Claws on the kittens ? [SEP] I took a nap on the couch with Forrest , who was tuckered out from playing with the kids nonstop . Apparently that 's what we need to calm the kitten down - a 6 year old and a 2 year old ! And since we had put Soft Claws on both of the cats a few weeks ago , I did n't have to worry about either of the kids ( or us ! ) getting scratched while they were playing . [SEP]  (A) They wanted to make their cat 's nails less sharp . (B) None of the above choices . (C) They wanted their kittens to play less . (D) They wanted to prevent injuries from their claws .	They wanted to prevent injuries from their claws .
What may be the reason why this task was so difficult ? [SEP] It really opened my eyes . The most challenging parts of this assignment was dividing the workload evenly , and editing the document . Editing was a challenge , because everyone in the group had their own unique style of writing . Dividing the workload evenly was also very important . [SEP]  (A) They are n't used to working with so many people . (B) The other people wanted to control everything . (C) They want the others to fail so they did as little as possible . (D) The speaker is a control freak .	They are n't used to working with so many people .
