[header] How to clear a paper jam in an all in one printer [title] Turn off and unplug the printer when a jam occurs. [title] Remove any loose paper from the printer tray. [title] Turn the printer around and remove the rear cartridge panel. (A) [step] On the left side you'll find two inks. It's the one you'd usually find on a shoe box, but on the lower right side you'll find two cartridges and a clear ink filter. (B) [title] Dump out the jam (right click and select plastic tab button lower than all programs). [title] Open the papers packet (common) and pour from the bottom to the roll top. (C) [step] If there is a cartridge screening in the tray you can gently remove it using your fingers. There should not be any expired cartridge compartment. (D) [title] Observe any paper that is caught within the cartridge rollers. [step] Gently pull any jammed paper out of the rollers.	[title] Observe any paper that is caught within the cartridge rollers. [step] Gently pull any jammed paper out of the rollers.
[header] How to make béchamel sauce [title] This is the basic recipe for béchamel sauce. [title] Place 2 tablespoons of butter in a small saucepan. [title] Heat the butter over medium heat until it's melted. (A) [step] Always keep the ratio of butter to flour equal, regardless of whether you are producing a thinner or thicker sauce. [title] Mix in 2 tablespoons of flour to make a roux, or the beginning stage of the sauce. (B) [title] Stir in the red pepper flakes. [title] Cook the sauce until it thickens. (C) [title] Place 1 cup of the flour into the butter, along with the dry ingredients. [title] Mix the flour and the water together. (D) [title] Add the béchamel and let it melt. [title] Whisk in 3 cups (0.14 liters) of water.	[step] Always keep the ratio of butter to flour equal, regardless of whether you are producing a thinner or thicker sauce. [title] Mix in 2 tablespoons of flour to make a roux, or the beginning stage of the sauce.
[header] How to make a left turn [title] Turn on your left turn indicator 100 feet (30 m) before the left turn you want to make. [step] If your turn indicator is broken, you will need to signal the left turn with your arm. The following are arm signals for left turns : [substeps] If you drive on the right side of the road, use your left arm in a straight position to indicate a left turn. (A) When you turn left, use your right arm in a straight or direct line when trying to turn. A left turn signal is double-sided. (B) If you drive on the left side of the road, use your right arm in a straight position to indicate a right turn. [title] Indicate that you want to stop at a red light. (C) If you drive on the left side of the road, extend your right arm out of the window horizontally. Point it down at an angle toward the ground. (D) If you move into a corner, use your right arm to signal a right turn. If you do not move into a corner, open your right mirror and look up at the ceiling.	If you drive on the left side of the road, extend your right arm out of the window horizontally. Point it down at an angle toward the ground.
[header] How to take care of an incision after thyroid surgery [title] Keep the wound clean and dry. [step] One of the most important things to do after you have had thyroid surgery is to keep the wound clean and dry. Follow your doctor's instructions for wound care and bathing following your surgery. (A) Doing so may help prevent your wound from becoming infected and it may also help the wound to heal faster. [substeps] Do not immerse the wound in water until it is fully healed. (B) Do not jump into a pond with algae, or if the incision is painful, cover it with a clean bandage. [substeps] You should also wash the wound with plenty of salt water. (C) [substeps] Take a shower shortly before and follow their care instructions as well. Do not touch your wound with a bandage. (D) Never make the wound dry after applying heat, water, or wearing clothing. [substeps] If you wear excess clothes around your incision, it may interfere with healing and mar the healing process.	Doing so may help prevent your wound from becoming infected and it may also help the wound to heal faster. [substeps] Do not immerse the wound in water until it is fully healed.
He mixes some pain and paints part of a canvas, then does another color. He keeps adding paint along the way, sometimes directly to the canvas. at the end (A) , he takes the brush and the canvas, and we see a synopsis. (B) he sticks a pencil (black nail) onto the canvas and beats it into a map pink. (C) , he chips off the excess paint. (D) he paints the edges around the canvas, and the finished painting is shown.	he paints the edges around the canvas, and the finished painting is shown.
[header] How to turn on or off the out of office assistant in microsoft outlook [title] Turn on automatic replies. [step] Select an exchange folder. Select the folder from your message store. (A) Get a message directory in the free options, these are the microsoft outlook customer lists. You can also increase outgoing and incoming outlook producter responses by location. (B) You must have an exchange folder selected in order to see the automatic replies option. Open the automatic replies (out of office) menu. (C) Click the " auto replies " button to open the microsoft outlook list. [substeps] Choose the " automatic reply " option if you want automatic response on any outlook message. (D) A list of what you currently hold or click on will be displayed in the outlook window. Deleting the exchanges folder will require you to create a new one.	You must have an exchange folder selected in order to see the automatic replies option. Open the automatic replies (out of office) menu.
[header] How to exercise facial muscles [title] Pull on your forehead with your index finger. [step] Using just your fingers, you can apply pressure to your forehead so that shifting your eyebrows can strengthen that part of your face. This can help smooth lines on your forehead. (A) [substeps] Avoid using very hard or harsh pressure when starting to exercise facial muscles-you'll break a visible line and cause pain. [title] Don't put undue pressure on your forehead. (B) [substeps] Put your index fingers just above each of your eyes. Pull down on your eyes while trying to raise your eyebrows. (C) [substeps] It's always a good idea to use a loose grip when applying pressure to your forehead. Try creating tiny waves as you push your eyebrows together. (D) [title] Take a small amount of your index finger and form a shape with it. [step] It doesn't really matter what shape you use; just making sure it is the right size.	[substeps] Put your index fingers just above each of your eyes. Pull down on your eyes while trying to raise your eyebrows.
[header] How to treat frostbite [title] Determine if you have frostnip. [step] Frostnip is not the same as frostbite, but can precede it. Ice crystals form on the surface of the skin, rather than within the tissue as in frostbite. (A) Frostnip is often accompanied by coarse, brown flakes. The flakes are cone-shaped, often resembling a disc. (B) Frostnip presents in three places: on the instep on the foot, the inguinal opening, the rectum, and the hips. Frostbite usually develops where the muscles beneath the skin are frozen for 10 minutes, and once it develops below the skin, pain from frostbite spreads across the entire body. (C) While frostnip is more common (rarely absent), it can present with asthma and other conditions, such as colic and seizures, and be triggered by other conditions, such as anxiety, depression, or temporary physical side effects. [substeps] Several conditions on the body can trigger frostnip. (D) The blood vessels in your skin severely constrict, causing paleness or reddened areas. You may feel numbness, pain, or prickling or tingling of the area.	The blood vessels in your skin severely constrict, causing paleness or reddened areas. You may feel numbness, pain, or prickling or tingling of the area.
[header] How to expose brick [title] Test the wall you wish to expose the brick on. [step] Chip a hole in the plaster until you can see the brick and what condition it is in. Brick was a common construction material in the 19th century, but sometimes the quality was not always the best. (A) Taking a look at your wall and determine if it's capable of being installed in a brick fireplace. A brick wall that is not one of these values will take longer to build. (B) At minimum you need a 3-blade masonry saw if your work surface is clay. Use it as needed to make your hole. (C) By testing a small area, you can see if the brick underneath is worth exposing. The brick should not crumble or break when you touch it and should be free of any major cracks. (D) [substeps] Chip open a brick and check the face of the wall next to it. If it breaks apart easily, it is one of those bricks that needs to be exposed to things like air fresheners.	By testing a small area, you can see if the brick underneath is worth exposing. The brick should not crumble or break when you touch it and should be free of any major cracks.
A man walks into a room. the man (A) is then sitting at a table, taking out sock remotes and tools. (B) begins to smooth plaster on the wall. (C) twists the objects made from pieces of wood. (D) is dozing and waking with his arms outstretched.	begins to smooth plaster on the wall.
