question: Madison said, as people "exercise the government in person", this system "will be confined to a small spot"category: 4-SYLLABLE WORDS	democracy
question: Lobo sang about "Me and You and a Dog Named" thiscategory: THE DOGS	Boo
question: Slyders & Cheese Sticks are highlights of the cuisine offered at this hamburger chaincategory: A FOOD ATTITUDE	White Castle
question: In 1977 his "All Things Wise and Wonderful" was a No. 1 bestsellercategory: BESTSELLERS	James Herriot
question: In this classic movie, Charlie Chaplin played dual roles including that of Adenoid Hynkel of Tomaniacategory: HEY, THAT'S "GREAT"!	The Great Dictator
question: This saint who was burned at the stake is the patroness of France & of soldierscategory: PATRON SAINTS	Joan of Arc
question: In 1993 Shaquille O'Neal was named the NBA's Rookie of the Year while playing center for this Florida teamcategory: BASKETBALL	Orlando Magic
question: It's a system of small particles "hanging" in a liquid; paint, for examplecategory: CHEMISTRY	Suspension
question: Her 1996 album "Stardust" features another duet with her late dad on "When I Fall In Love"category: FEMALE SINGERS	Natalie Cole
question: The plane seen here was called "The Flying" this, the part that provides lift, sending the plane upcategory: AIRPLANES	Wing
question: In German it's the informal "you" used for friends, family & all childrencategory: FOREIGN 2-LETTER WORDS	du
question: Holly Hunter was speechless when Harvey Keitel exposed himself in this 1993 filmcategory: BUFF ACTORS	The Piano
question: A.G. Roger Taney wrote this president's speech announcing the veto of the bill renewing the Bank of the U.S.category: ATTORNEYS GENERAL	Andrew Jackson
question: This Volkswagen model is a real sportcategory: CARS IN THE DICTIONARY	a Golf
question: When this chief, Pocahontas' father, died in 1618, he was succeeded by his brother Opitchapamcategory: AMERICAN INDIANS	Powhatan
question: The name of this common device for regulating the flow of a liquid comes from Latin for "false"category: VOCABULARY	a faucet
question: He's currently the only black justice on the Supreme Courtcategory: BLACK AMERICA	Clarence Thomas
question: With close to 50,000 students, this Columbus-based university is one of the USA's largestcategory: COLLEGE COLLAGE	Ohio State
question: Scent these by adding pieces of mint or a few drops of essential oil to the melted wax before moldingcategory: GEE, YOUR HOUSE SMELLS NICE	Candles
question: In this work, one of the big talkers on their way to Becket's tomb is a prioress, Madame Eglentyncategory: YOU GO, GIRL!	The Canterbury Tales
question: Living high on the hog you can afford your own tub of this hog fatcategory: 4-LETTER WORDS	lard
question: Once Queen Isabella's confessor, around 1490 he set up www.inquisition.orgcategory: HISTORIC WEBSITES	Tomas de Torquemada
question: This literary movement was led in part by the poetry & prose of Burroughs, Ginsberg & Kerouaccategory: TIME TO "B" SPECIAL	Beat
question: This state's World Potato Exposition in Blackfoot promises "Free Taters for Out-of-Staters"category: TRAVEL U.S.A.	Idaho
question: Ohio,Oklahoma,Oregoncategory: THE LARGEST U.S. STATE	Oregon
question: 119 degrees on July 10, 1898 in Pendletoncategory: WHEW!  IT'S HOT!	Oregon
question: Tasty term for the weighted ring used by hitters to warm upcategory: YOU'RE "NUT"s!	Doughnut
question: These volunteers were so named because they were ready to fight at 60 seconds' noticecategory: THE REVOLUTIONARY WAR	Minutemen
question: Watch Jeopardy! & find out how to succeed in this group of ferrets without really tryingcategory: ANIMAL GROUPS	Business
question: Mia Farrow, Dianne Wiest & Barbara Hershey are the title characters in this 1986 Woody Allen filmcategory: FAMILY FILMS	Hannah and Her Sisters
question: This synonym for silliness might form a trio with Dickfoolery & Harryfoolerycategory: NONSENSE WORDS	Tomfoolery
question: This dark green vegetable is the main ingredient in spanakopitta, a Greek piecategory: INTERNATIONAL FOOD & DRINK	Spinach
