,task,entry,dev_performance,test_performance
0,ag_news,ag_news_16_100,0.8908497416561932,0.8456726860956311
1,ag_news,ag_news_16_13,0.8011767010879587,0.8596891720229919
2,ag_news,ag_news_16_21,0.8915621734587252,0.8373057034266315
3,ag_news,ag_news_16_42,0.9210445468509983,0.8485865773798578
4,ag_news,ag_news_16_87,0.8763892653835729,0.836400303119968
5,ag_news,mean,0.8762044856874895,0.8455308884090161
6,ag_news,std,0.040224807735188765,0.008495123216048775
7,,,,
8,ai2_arc,ai2_arc_32_100,0.3125,0.217391304347826
9,ai2_arc,ai2_arc_32_13,0.40625,0.2307692307692307
10,ai2_arc,ai2_arc_32_21,0.3125,0.2341137123745819
11,ai2_arc,ai2_arc_32_42,0.53125,0.2073578595317725
12,ai2_arc,ai2_arc_32_87,0.34375,0.2240802675585284
13,ai2_arc,mean,0.38125,0.22274247491638785
14,ai2_arc,std,0.08244316223920574,0.009600468290573474
15,,,,
16,amazon_polarity,amazon_polarity_16_100,1.0,0.9217885161476632
17,amazon_polarity,amazon_polarity_16_13,1.0,0.9206437698830048
18,amazon_polarity,amazon_polarity_16_21,0.9687194525904204,0.9449470941574852
19,amazon_polarity,amazon_polarity_16_42,1.0,0.9499837947494988
20,amazon_polarity,amazon_polarity_16_87,0.9687194525904204,0.9429953826259928
21,amazon_polarity,mean,0.9874877810361682,0.936071711512729
22,amazon_polarity,std,0.015324276005681649,0.012347362078833754
23,,,,
24,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_100,1.0,1.0
25,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_13,1.0,1.0
26,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_21,1.0,1.0
27,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_42,1.0,1.0
28,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_87,1.0,1.0
29,blimp-sentential_negation_npi_licensor_present,mean,1.0,1.0
30,blimp-sentential_negation_npi_licensor_present,std,0.0,0.0
31,,,,
32,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_100,0.53125,0.525
33,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_13,1.0,0.785
34,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_21,0.6875,0.475
35,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_42,0.6875,0.515
36,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_87,0.6875,0.595
37,blimp-sentential_negation_npi_scope,mean,0.71875,0.5790000000000001
38,blimp-sentential_negation_npi_scope,std,0.15309310892394862,0.11001818031580055
39,,,,
40,break-QDMR,break-QDMR_32_100,0.125,0.0297680412371134
41,break-QDMR,mean,0.125,0.0297680412371134
42,break-QDMR,std,0.0,0.0
43,,,,
44,crawl_domain,crawl_domain_32_100,0.84375,0.6072708653353814
45,crawl_domain,crawl_domain_32_13,0.65625,0.5842293906810035
46,crawl_domain,crawl_domain_32_21,0.6875,0.6169994879672299
47,crawl_domain,crawl_domain_32_42,0.78125,0.6482334869431644
48,crawl_domain,crawl_domain_32_87,0.78125,0.620583717357911
49,crawl_domain,mean,0.75,0.6154633896569381
50,crawl_domain,std,0.06846531968814576,0.020712975530912725
51,,,,
52,ethos-disability,ethos-disability_16_100,0.9375,0.8141025641025641
53,ethos-disability,ethos-disability_16_13,0.9687194525904204,0.8066666666666666
54,ethos-disability,ethos-disability_16_21,0.9372549019607844,0.9113752122241088
55,ethos-disability,ethos-disability_16_42,0.9687194525904204,0.8104575163398693
56,ethos-disability,ethos-disability_16_87,1.0,0.938034188034188
57,ethos-disability,mean,0.9624387614283251,0.8561272294734794
58,ethos-disability,std,0.023434629953320258,0.05667315401332415
59,,,,
60,ethos-sexual_orientation,ethos-sexual_orientation_16_100,0.875,0.7150415721844294
61,ethos-sexual_orientation,ethos-sexual_orientation_16_13,0.906158357771261,0.5829930765134032
62,ethos-sexual_orientation,ethos-sexual_orientation_16_21,0.906158357771261,0.7739085239085238
63,ethos-sexual_orientation,ethos-sexual_orientation_16_42,0.906158357771261,0.6169275929549902
64,ethos-sexual_orientation,ethos-sexual_orientation_16_87,0.9687194525904204,0.6710084033613446
65,ethos-sexual_orientation,mean,0.9124389051808407,0.6719758337845383
66,ethos-sexual_orientation,std,0.03061864616587043,0.06810889365048549
67,,,,
68,freebase_qa,freebase_qa_32_100,0.03125,0.0085127691537305
69,freebase_qa,freebase_qa_32_13,0.03125,0.0040060090135202
70,freebase_qa,freebase_qa_32_21,0.03125,0.0040060090135202
71,freebase_qa,freebase_qa_32_42,0.03125,0.0055082623935903
72,freebase_qa,freebase_qa_32_87,0.0,0.0040060090135202
73,freebase_qa,mean,0.025,0.00520781171757628
74,freebase_qa,std,0.0125,0.0017519134386115014
75,,,,
76,glue-cola,glue-cola_16_100,0.4453993340830444,0.0745812500093321
77,glue-cola,glue-cola_16_13,0.3779644730092272,0.0364600823559249
78,glue-cola,glue-cola_16_21,0.4330127018922193,0.2032647718780153
79,glue-cola,glue-cola_16_42,0.5726562866782,0.0460004130226322
80,glue-cola,glue-cola_16_87,0.629940788348712,0.1308288439668082
81,glue-cola,mean,0.4917947168022806,0.09822707224654255
82,glue-cola,std,0.09400862916035632,0.061964027865018076
83,,,,
84,glue-qnli,glue-qnli_16_100,0.75,0.5222405271828665
85,glue-qnli,glue-qnli_16_13,0.8125,0.6324363902617609
86,glue-qnli,glue-qnli_16_21,0.65625,0.527732015376167
87,glue-qnli,glue-qnli_16_42,0.6875,0.5550064067362255
88,glue-qnli,glue-qnli_16_87,0.625,0.5555555555555556
89,glue-qnli,mean,0.70625,0.5585941790225151
90,glue-qnli,std,0.06731456008918131,0.03936708942826731
91,,,,
92,quoref,quoref_32_100,0.3630952380952381,0.2973786311565468
93,quoref,quoref_32_13,0.4791666666666666,0.2820670369057465
94,quoref,quoref_32_21,0.4026041666666666,0.2126176690692819
95,quoref,quoref_32_42,0.3422619047619047,0.3003380729187181
96,quoref,quoref_32_87,0.4635416666666666,0.3726843646198485
97,quoref,mean,0.41013392857142855,0.29301715493402836
98,quoref,std,0.05384023170350048,0.050996990158736724
99,,,,
