,task,entry,dev_performance,test_performance
0,ag_news,ag_news_16_100,0.906023230406532,0.2603248435366346
1,ag_news,ag_news_16_13,0.8125405844155844,0.6550222669433297
2,ag_news,ag_news_16_21,0.890625,0.8450307821561538
3,ag_news,ag_news_16_42,0.8425324675324676,0.2947806932596709
4,ag_news,ag_news_16_87,0.8763892653835729,0.2420020115314285
5,ag_news,mean,0.8656221095476313,0.4594321194854435
6,ag_news,std,0.03383520835211936,0.24534526112190091
7,,,,
8,ai2_arc,ai2_arc_32_100,0.125,0.0367892976588628
9,ai2_arc,ai2_arc_32_13,0.125,0.0936454849498327
10,ai2_arc,ai2_arc_32_21,0.125,0.1137123745819397
11,ai2_arc,ai2_arc_32_42,0.1875,0.1137123745819397
12,ai2_arc,ai2_arc_32_87,0.125,0.0702341137123745
13,ai2_arc,mean,0.1375,0.08561872909698988
14,ai2_arc,std,0.024999999999999998,0.029202514987214802
15,,,,
16,amazon_polarity,amazon_polarity_16_100,1.0,0.4569136537097226
17,amazon_polarity,amazon_polarity_16_13,1.0,0.9389070776651284
18,amazon_polarity,amazon_polarity_16_21,0.9687194525904204,0.928998224955624
19,amazon_polarity,amazon_polarity_16_42,1.0,0.950999558996031
20,amazon_polarity,amazon_polarity_16_87,0.9687194525904204,0.6269654371420562
21,amazon_polarity,mean,0.9874877810361682,0.7805567904937124
22,amazon_polarity,std,0.015324276005681649,0.2022353055521654
23,,,,
24,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_100,0.96875,0.88
25,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_13,1.0,0.975
26,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_21,1.0,0.985
27,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_42,1.0,0.995
28,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_87,0.78125,0.685
29,blimp-sentential_negation_npi_licensor_present,mean,0.95,0.9039999999999999
30,blimp-sentential_negation_npi_licensor_present,std,0.0852386356061616,0.11697863052711804
31,,,,
32,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_100,0.84375,0.74
33,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_13,0.625,0.54
34,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_21,0.75,0.51
35,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_42,0.53125,0.545
36,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_87,0.65625,0.515
37,blimp-sentential_negation_npi_scope,mean,0.68125,0.5700000000000001
38,blimp-sentential_negation_npi_scope,std,0.10716517624676404,0.08608135686662936
39,,,,
40,break-QDMR,break-QDMR_32_100,0.0,0.0
41,break-QDMR,break-QDMR_32_13,0.03125,0.0006443298969072
42,break-QDMR,break-QDMR_32_21,0.03125,0.0024484536082474
43,break-QDMR,break-QDMR_32_42,0.0,0.0
44,break-QDMR,break-QDMR_32_87,0.0,0.0
45,break-QDMR,mean,0.0125,0.00061855670103092
46,break-QDMR,std,0.015309310892394864,0.0009483695614935013
47,,,,
48,circa,circa_16_100,0.3161141558072504,0.2203574553075866
49,circa,circa_16_13,0.5658066159014926,0.4094844583005663
50,circa,circa_16_21,0.5199796282149223,0.3647000750336869
51,circa,circa_16_42,0.4062343868795481,0.2887166438825774
52,circa,circa_16_87,0.6283714068845443,0.0383734985999156
53,circa,mean,0.4873012387375516,0.2643264262248666
54,circa,std,0.1122573966880236,0.13017572913142275
55,,,,
56,crawl_domain,crawl_domain_32_100,0.03125,0.0189452124935995
57,crawl_domain,crawl_domain_32_13,0.0625,0.0317460317460317
58,crawl_domain,crawl_domain_32_21,0.0625,0.0122887864823348
59,crawl_domain,crawl_domain_32_42,0.03125,0.0168970814132104
60,crawl_domain,crawl_domain_32_87,0.03125,0.0040962621607782
61,crawl_domain,mean,0.04375,0.016794674859190922
62,crawl_domain,std,0.015309310892394862,0.009052415004858002
63,,,,
64,ethos-disability,ethos-disability_16_100,0.8745098039215686,0.6739001775498126
65,ethos-disability,ethos-disability_16_13,0.9687194525904204,0.7932088285229202
66,ethos-disability,ethos-disability_16_21,0.8435972629521017,0.6271148206632078
67,ethos-disability,ethos-disability_16_42,0.8745098039215686,0.693661971830986
68,ethos-disability,ethos-disability_16_87,0.7184750733137829,0.5741258741258741
69,ethos-disability,mean,0.8559622793398886,0.6724023345385601
70,ethos-disability,std,0.08057025121817799,0.0731541472297252
71,,,,
72,ethos-sexual_orientation,ethos-sexual_orientation_16_100,0.8423645320197044,0.6552971576227389
73,ethos-sexual_orientation,ethos-sexual_orientation_16_13,0.906158357771261,0.5868945868945868
74,ethos-sexual_orientation,ethos-sexual_orientation_16_21,0.906158357771261,0.6382536382536382
75,ethos-sexual_orientation,ethos-sexual_orientation_16_42,0.906158357771261,0.7745465015836452
76,ethos-sexual_orientation,ethos-sexual_orientation_16_87,0.875,0.5521036747736553
77,ethos-sexual_orientation,mean,0.8871679210666976,0.6414191118256529
78,ethos-sexual_orientation,std,0.025445282595686358,0.07599433320531912
79,,,,
80,freebase_qa,freebase_qa_32_100,0.0,0.0
81,freebase_qa,freebase_qa_32_13,0.0,0.0
82,freebase_qa,freebase_qa_32_21,0.0,0.0
83,freebase_qa,freebase_qa_32_42,0.0,0.0
84,freebase_qa,freebase_qa_32_87,0.0,0.00050075112669
85,freebase_qa,mean,0.0,0.00010015022533799999
86,freebase_qa,std,0.0,0.00020030045067599998
87,,,,
88,glue-cola,glue-cola_16_100,0.3289758474798845,-0.0145438325120386
89,glue-cola,glue-cola_16_13,0.1796053020267749,0.0329074831298055
90,glue-cola,glue-cola_16_21,0.4605661864718383,-0.0124941823875809
91,glue-cola,glue-cola_16_42,0.1889822365046136,0.0603179933340794
92,glue-cola,glue-cola_16_87,0.4303314829119352,0.072043523127674
93,glue-cola,mean,0.3176922110790093,0.02764619693838788
94,glue-cola,std,0.11735599759754188,0.035937441818604476
95,,,,
96,glue-qnli,glue-qnli_16_100,0.6875,0.5471352736591616
97,glue-qnli,glue-qnli_16_13,0.53125,0.5074135090609555
98,glue-qnli,glue-qnli_16_21,0.5,0.4946000366099213
99,glue-qnli,glue-qnli_16_42,0.59375,0.5593995972908659
100,glue-qnli,glue-qnli_16_87,0.5625,0.5077796082738422
101,glue-qnli,mean,0.575,0.5232656049789493
102,glue-qnli,std,0.06434768838116875,0.025251718088732243
103,,,,
104,hatexplain,hatexplain_16_100,0.4552995391705068,0.466827236913927
105,hatexplain,hatexplain_16_13,0.6863415139277208,0.3951481789617272
106,hatexplain,hatexplain_16_21,0.5309941520467837,0.0697421332768731
107,hatexplain,hatexplain_16_42,0.5476190476190476,0.0943866143047621
108,hatexplain,hatexplain_16_87,0.4582299421009099,0.4210433991019465
109,hatexplain,mean,0.5356968389729937,0.2894295125118472
110,hatexplain,std,0.08405107773498494,0.17103969184869308
111,,,,
112,quoref,quoref_32_100,0.09375,0.0517717945137299
113,quoref,quoref_32_13,0.296875,0.2361770845641813
114,quoref,quoref_32_21,0.0572916666666666,0.0728012131237937
115,quoref,quoref_32_42,0.1770833333333333,0.1971464019851116
116,quoref,quoref_32_87,0.1741847826086956,0.1553522715392026
117,quoref,mean,0.1598369565217391,0.14264975314520384
118,quoref,std,0.08266286382731468,0.07073361624974615
119,,,,
120,race-high,race-high_32_100,0.21875,0.1390901188061431
121,race-high,race-high_32_13,0.15625,0.1306867574616053
122,race-high,race-high_32_21,0.1875,0.1156186612576064
123,race-high,race-high_32_42,0.21875,0.2045783830773689
124,race-high,race-high_32_87,0.21875,0.18951028687337
125,race-high,mean,0.2,0.15589684149521874
126,race-high,std,0.024999999999999998,0.034756588638091335
127,,,,
128,samsum,samsum_32_100,0.3313730760851884,0.3296029742826675
129,samsum,samsum_32_13,0.303689987570211,0.3378182662658621
130,samsum,samsum_32_21,0.2931919636999839,0.3160879287681751
131,samsum,samsum_32_42,0.323476179992949,0.2949434310091994
132,samsum,samsum_32_87,0.3103708628737755,0.2628200041191566
133,samsum,mean,0.31242041404442156,0.3082545208890121
134,samsum,std,0.013649818080922109,0.02695408766739605
135,,,,
136,superglue-rte,superglue-rte_16_100,0.625,0.483754512635379
137,superglue-rte,superglue-rte_16_13,0.53125,0.4729241877256318
138,superglue-rte,superglue-rte_16_21,0.59375,0.51985559566787
139,superglue-rte,superglue-rte_16_42,0.59375,0.4693140794223827
140,superglue-rte,superglue-rte_16_87,0.53125,0.4620938628158845
141,superglue-rte,mean,0.575,0.4815884476534296
142,superglue-rte,std,0.037500000000000006,0.020370737876773817
143,,,,
144,tweet_eval-irony,tweet_eval-irony_16_100,0.4589473684210526,0.5424185015412062
145,tweet_eval-irony,tweet_eval-irony_16_13,0.5151515151515151,0.5223089235694278
146,tweet_eval-irony,tweet_eval-irony_16_21,0.6559139784946237,0.557997837183434
147,tweet_eval-irony,tweet_eval-irony_16_42,0.6761133603238867,0.5043040091132914
148,tweet_eval-irony,tweet_eval-irony_16_87,0.5555555555555556,0.5048518039463907
149,tweet_eval-irony,mean,0.5723363555893266,0.52637621507075
150,tweet_eval-irony,std,0.0826603283309416,0.02109173938049304
151,,,,
152,wiki_split,wiki_split_32_100,0.7190818406955295,0.7104990658019786
153,wiki_split,wiki_split_32_13,0.7285661487780961,0.7258706108487951
154,wiki_split,wiki_split_32_21,0.7367141870989464,0.7041651499074982
155,wiki_split,wiki_split_32_42,0.742733053868196,0.7196032255549214
156,wiki_split,wiki_split_32_87,0.7040823015004897,0.7205338296187636
157,wiki_split,mean,0.7262355063882515,0.7161343763463913
158,wiki_split,std,0.013633364484832317,0.007761462139192212
159,,,,
160,yelp_polarity,yelp_polarity_16_100,1.0,0.619147631393219
161,yelp_polarity,yelp_polarity_16_13,0.9687194525904204,0.9651227382619616
162,yelp_polarity,yelp_polarity_16_21,0.9375,0.4626828265074024
163,yelp_polarity,yelp_polarity_16_42,1.0,0.9552557180733444
164,yelp_polarity,yelp_polarity_16_87,1.0,0.1597757515484673
165,yelp_polarity,mean,0.981243890518084,0.6323969331568791
166,yelp_polarity,std,0.025003057540048484,0.3057101436585144
167,,,,
