,task,entry,dev_performance,test_performance
0,ag_news,ag_news_16_100,0.8749236314760509,0.8390387810213839
1,ag_news,ag_news_16_13,0.8449118040851912,0.6885341988080256
2,ag_news,ag_news_16_21,0.9062595062595062,0.8454169006675937
3,ag_news,ag_news_16_42,0.9059907834101384,0.5562707711664262
4,ag_news,ag_news_16_87,0.8917572307515382,0.5714979260579235
5,ag_news,mean,0.8847685911964849,0.7001517155442706
6,ag_news,std,0.023006819276734737,0.12472375985764049
7,,,,
8,ai2_arc,ai2_arc_32_100,0.3125,0.2675585284280936
9,ai2_arc,ai2_arc_32_13,0.28125,0.2742474916387959
10,ai2_arc,ai2_arc_32_21,0.40625,0.2842809364548495
11,ai2_arc,ai2_arc_32_42,0.4375,0.2274247491638795
12,ai2_arc,ai2_arc_32_87,0.375,0.2341137123745819
13,ai2_arc,mean,0.3625,0.2575250836120401
14,ai2_arc,std,0.05796011559684815,0.02258453915201892
15,,,,
16,amazon_polarity,amazon_polarity_16_100,1.0,0.9559992959887358
17,amazon_polarity,amazon_polarity_16_13,1.0,0.9459299251830372
18,amazon_polarity,amazon_polarity_16_21,0.9687194525904204,0.9268243051566812
19,amazon_polarity,amazon_polarity_16_42,0.9687194525904204,0.946949018006304
20,amazon_polarity,amazon_polarity_16_87,0.9687194525904204,0.9419767907162866
21,amazon_polarity,mean,0.9812316715542522,0.943535867010209
22,amazon_polarity,std,0.01532427600568165,0.009533364512430713
23,,,,
24,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_100,1.0,1.0
25,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_13,1.0,1.0
26,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_21,1.0,1.0
27,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_42,1.0,1.0
28,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_87,1.0,1.0
29,blimp-sentential_negation_npi_licensor_present,mean,1.0,1.0
30,blimp-sentential_negation_npi_licensor_present,std,0.0,0.0
31,,,,
32,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_100,1.0,1.0
33,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_13,1.0,1.0
34,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_21,0.84375,0.665
35,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_42,1.0,0.945
36,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_87,1.0,0.935
37,blimp-sentential_negation_npi_scope,mean,0.96875,0.909
38,blimp-sentential_negation_npi_scope,std,0.0625,0.12495599225327289
39,,,,
40,break-QDMR,break-QDMR_32_100,0.125,0.0458762886597938
41,break-QDMR,break-QDMR_32_13,0.03125,0.0320876288659793
42,break-QDMR,break-QDMR_32_21,0.09375,0.0318298969072164
43,break-QDMR,break-QDMR_32_42,0.0625,0.0336340206185567
44,break-QDMR,break-QDMR_32_87,0.125,0.0222938144329896
45,break-QDMR,mean,0.0875,0.03314432989690716
46,break-QDMR,std,0.036443449342783124,0.007522241792558664
47,,,,
48,circa,circa_16_100,0.4849361967009026,0.0260609954762976
49,circa,circa_16_13,0.5724697031789707,0.2884538616589127
50,circa,circa_16_21,0.3827692307692308,0.023372231849678
51,circa,circa_16_42,0.631672992868645,0.1159745228089985
52,circa,circa_16_87,0.5493410293410294,0.0459957310018191
53,circa,mean,0.5242378305717557,0.09997146855914117
54,circa,std,0.08491970487043952,0.10002528839708455
55,,,,
56,crawl_domain,crawl_domain_32_100,0.78125,0.5980542754736303
57,crawl_domain,crawl_domain_32_13,0.625,0.576036866359447
58,crawl_domain,crawl_domain_32_21,0.6875,0.5826932923707118
59,crawl_domain,crawl_domain_32_42,0.78125,0.6077828981054787
60,crawl_domain,crawl_domain_32_87,0.71875,0.6057347670250897
61,crawl_domain,mean,0.71875,0.5940604198668715
62,crawl_domain,std,0.05929270612815711,0.012606409018719246
63,,,,
64,ethos-disability,ethos-disability_16_100,0.9372549019607844,0.7745465015836452
65,ethos-disability,ethos-disability_16_13,0.9687194525904204,0.8104575163398693
66,ethos-disability,ethos-disability_16_21,0.9687194525904204,0.8246472790095019
67,ethos-disability,ethos-disability_16_42,1.0,0.6739001775498126
68,ethos-disability,ethos-disability_16_87,0.8125,0.559673469387755
69,ethos-disability,mean,0.937438761428325,0.7286449887741168
70,ethos-disability,std,0.06554479348098753,0.09956409693766101
71,,,,
72,ethos-sexual_orientation,ethos-sexual_orientation_16_100,0.8435972629521017,0.744618395303327
73,ethos-sexual_orientation,ethos-sexual_orientation_16_13,0.9375,0.6710084033613446
74,ethos-sexual_orientation,ethos-sexual_orientation_16_21,0.8423645320197044,0.7588813303099018
75,ethos-sexual_orientation,ethos-sexual_orientation_16_42,0.9372549019607844,0.6963758389261745
76,ethos-sexual_orientation,ethos-sexual_orientation_16_87,0.8398398398398398,0.6896551724137931
77,ethos-sexual_orientation,mean,0.8801113073544862,0.7121078280629083
78,ethos-sexual_orientation,std,0.046773364280682704,0.03372084647051093
79,,,,
80,freebase_qa,freebase_qa_32_100,0.0,0.0092638958437656
81,freebase_qa,freebase_qa_32_13,0.03125,0.0052578868302453
