,task,entry,dev_performance,test_performance
0,ag_news,ag_news_16_100,0.9059561128526646,0.8596359620906577
1,ag_news,ag_news_16_13,0.8145442988602054,0.8564568846420719
2,ag_news,ag_news_16_21,0.8915621734587252,0.8402148782681139
3,ag_news,ag_news_16_42,0.8911874143728982,0.8277743383834797
4,ag_news,ag_news_16_87,0.8614542004485078,0.6814097181135522
5,ag_news,mean,0.8729408399986003,0.8130983562995752
6,ag_news,std,0.03259386041247727,0.06684055411781069
7,,,,
8,ai2_arc,ai2_arc_32_100,0.375,0.1906354515050167
9,ai2_arc,ai2_arc_32_13,0.34375,0.2408026755852843
10,ai2_arc,ai2_arc_32_21,0.375,0.2742474916387959
11,ai2_arc,ai2_arc_32_42,0.375,0.2341137123745819
12,ai2_arc,ai2_arc_32_87,0.34375,0.197324414715719
13,ai2_arc,mean,0.3625,0.22742474916387959
14,ai2_arc,std,0.015309310892394862,0.03057961057033434
15,,,,
16,amazon_polarity,amazon_polarity_16_100,1.0,0.9489815823512288
17,amazon_polarity,amazon_polarity_16_13,1.0,0.923667495610881
18,amazon_polarity,amazon_polarity_16_21,0.9687194525904204,0.919766037766126
19,amazon_polarity,amazon_polarity_16_42,1.0,0.940999468995221
20,amazon_polarity,amazon_polarity_16_87,0.9687194525904204,0.935987453540894
21,amazon_polarity,mean,0.9874877810361682,0.9338804076528702
22,amazon_polarity,std,0.015324276005681649,0.01083222196705714
23,,,,
24,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_100,1.0,1.0
25,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_13,1.0,1.0
26,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_21,1.0,1.0
27,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_42,1.0,1.0
28,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_87,1.0,1.0
29,blimp-sentential_negation_npi_licensor_present,mean,1.0,1.0
30,blimp-sentential_negation_npi_licensor_present,std,0.0,0.0
31,,,,
32,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_100,1.0,1.0
33,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_13,1.0,1.0
34,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_21,1.0,1.0
35,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_42,1.0,0.965
36,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_87,1.0,1.0
37,blimp-sentential_negation_npi_scope,mean,1.0,0.993
38,blimp-sentential_negation_npi_scope,std,0.0,0.014000000000000012
39,,,,
40,break-QDMR,break-QDMR_32_100,0.125,0.0332474226804123
41,break-QDMR,break-QDMR_32_13,0.0,0.0208762886597938
42,break-QDMR,break-QDMR_32_21,0.125,0.0284793814432989
43,break-QDMR,break-QDMR_32_42,0.0625,0.0279639175257731
44,break-QDMR,break-QDMR_32_87,0.09375,0.0273195876288659
45,break-QDMR,mean,0.08125,0.027577319587628803
46,break-QDMR,std,0.046770717334674264,0.003951796652116463
47,,,,
48,circa,circa_16_100,0.6622382076355325,0.0496475850017178
49,circa,circa_16_13,0.6042205345431152,0.1491854027525739
50,circa,circa_16_21,0.4671353918463077,0.1082741290702432
51,circa,circa_16_42,0.687560992138791,0.200038184157498
52,circa,circa_16_87,0.6350083332397014,0.1742133826556383
53,circa,mean,0.6112326918806895,0.13627173672753426
54,circa,std,0.07720887955082154,0.0528395699841077
55,,,,
56,crawl_domain,crawl_domain_32_100,0.84375,0.5878136200716846
57,crawl_domain,crawl_domain_32_13,0.59375,0.5847414234511009
58,crawl_domain,crawl_domain_32_21,0.6875,0.5842293906810035
59,crawl_domain,crawl_domain_32_42,0.71875,0.6185355862775218
60,crawl_domain,crawl_domain_32_87,0.75,0.6001024065540195
61,crawl_domain,mean,0.71875,0.595084485407066
62,crawl_domain,std,0.08149003006503311,0.01305994762267681
63,,,,
64,ethos-disability,ethos-disability_16_100,0.906158357771261,0.7897986577181209
65,ethos-disability,ethos-disability_16_13,0.9687194525904204,0.8522920203735144
66,ethos-disability,ethos-disability_16_21,0.9687194525904204,0.7724137931034483
67,ethos-disability,ethos-disability_16_42,0.9687194525904204,0.6710084033613446
68,ethos-disability,ethos-disability_16_87,0.906158357771261,0.6233766233766234
69,ethos-disability,mean,0.9436950146627566,0.7417778995866104
70,ethos-disability,std,0.03064855201136335,0.08304830628078337
71,,,,
72,ethos-sexual_orientation,ethos-sexual_orientation_16_100,0.8095238095238095,0.6011369888134972
73,ethos-sexual_orientation,ethos-sexual_orientation_16_13,0.906158357771261,0.686039886039886
74,ethos-sexual_orientation,ethos-sexual_orientation_16_21,0.8435972629521017,0.8305194805194805
75,ethos-sexual_orientation,ethos-sexual_orientation_16_42,0.875,0.6052475833497732
76,ethos-sexual_orientation,ethos-sexual_orientation_16_87,0.7184750733137829,0.6553697183098591
77,ethos-sexual_orientation,mean,0.8305509007121911,0.6756627314064991
78,ethos-sexual_orientation,std,0.06459960868149876,0.08368092237727248
79,,,,
80,freebase_qa,freebase_qa_32_100,0.03125,0.0080120180270405
81,freebase_qa,freebase_qa_32_13,0.0,0.0077616424636955
82,freebase_qa,freebase_qa_32_21,0.03125,0.0040060090135202
83,freebase_qa,freebase_qa_32_42,0.0,0.0052578868302453
84,freebase_qa,freebase_qa_32_87,0.03125,0.0067601402103154
85,freebase_qa,mean,0.01875,0.00635953930896338
86,freebase_qa,std,0.015309310892394864,0.0015237981026242397
87,,,,
88,glue-cola,glue-cola_16_100,0.3216337604513384,0.0196701523410421
89,glue-cola,glue-cola_16_13,0.25,0.027399733505765
90,glue-cola,glue-cola_16_21,0.3289758474798845,0.058713758808961
91,glue-cola,glue-cola_16_42,0.2581988897471611,0.0558516524323357
92,glue-cola,glue-cola_16_87,0.5726562866782,-0.0015552588552056
93,glue-cola,mean,0.3462929568713168,0.03201600764657964
94,glue-cola,std,0.1176275592984146,0.022722974911676887
95,,,,
96,glue-qnli,glue-qnli_16_100,0.6875,0.5667215815485996
97,glue-qnli,glue-qnli_16_13,0.75,0.603880651656599
98,glue-qnli,glue-qnli_16_21,0.84375,0.5427420831045213
99,glue-qnli,glue-qnli_16_42,0.59375,0.5121727988284825
100,glue-qnli,glue-qnli_16_87,0.59375,0.5317591067179206
101,glue-qnli,mean,0.69375,0.5514552443712246
102,glue-qnli,std,0.09560661587986471,0.03158623727317536
103,,,,
104,hatexplain,hatexplain_16_100,0.4958889924407165,0.1945367795096576
105,hatexplain,hatexplain_16_13,0.590846429556107,0.2003176731114866
106,hatexplain,hatexplain_16_21,0.5158283283283284,0.1455383754120737
107,hatexplain,hatexplain_16_42,0.4678174678174678,0.0654928378539168
108,hatexplain,hatexplain_16_87,0.4848484848484848,0.1028444576070227
109,hatexplain,mean,0.511045940598221,0.14174602469883146
110,hatexplain,std,0.04283860383925637,0.05207641335846516
111,,,,
112,quoref,quoref_32_100,0.5625,0.3415239181368213
113,quoref,quoref_32_13,0.5333333333333333,0.3473328344296086
114,quoref,quoref_32_21,0.4624999999999999,0.3233683729651471
115,quoref,quoref_32_42,0.3672619047619047,0.3289879475363346
116,quoref,quoref_32_87,0.5,0.3865352091158542
117,quoref,mean,0.48511904761904756,0.34554965643675317
118,quoref,std,0.06772857494400412,0.022205861204533626
119,,,,
120,race-high,race-high_32_100,0.34375,0.2547087800637496
121,race-high,race-high_32_13,0.40625,0.2393509127789046
122,race-high,race-high_32_21,0.34375,0.2587655751955954
123,race-high,race-high_32_42,0.46875,0.2648507678933642
124,race-high,race-high_32_87,0.40625,0.2376122862938278
125,race-high,mean,0.39375,0.2510576644450883
126,race-high,std,0.046770717334674264,0.010777926185844323
127,,,,
128,samsum,samsum_32_100,0.4205702408650286,0.3774734309154
129,samsum,samsum_32_13,0.3955271366862414,0.3337531669829346
130,samsum,samsum_32_21,0.3809029849996968,0.3679788146627558
131,samsum,samsum_32_42,0.3739855832726831,0.3661698961021837
132,samsum,samsum_32_87,0.4256812920810144,0.3677332260718858
133,samsum,mean,0.39933344758093287,0.362621706947032
134,samsum,std,0.020697316141793463,0.014975861788983186
135,,,,
136,superglue-rte,superglue-rte_16_100,0.59375,0.5487364620938628
137,superglue-rte,superglue-rte_16_13,0.625,0.5090252707581228
138,superglue-rte,superglue-rte_16_21,0.6875,0.5054151624548736
139,superglue-rte,superglue-rte_16_42,0.65625,0.5379061371841155
140,superglue-rte,superglue-rte_16_87,0.59375,0.5306859205776173
141,superglue-rte,mean,0.63125,0.5263537906137185
142,superglue-rte,std,0.03644344934278313,0.016684794235799782
143,,,,
144,tweet_eval-irony,tweet_eval-irony_16_100,0.5080645161290324,0.5260263638529341
145,tweet_eval-irony,tweet_eval-irony_16_13,0.6862745098039216,0.5558880416568632
146,tweet_eval-irony,tweet_eval-irony_16_21,0.716256157635468,0.2539868785569757
147,tweet_eval-irony,tweet_eval-irony_16_42,0.6235294117647059,0.5224497315506895
148,tweet_eval-irony,tweet_eval-irony_16_87,0.716256157635468,0.5178249013476286
149,tweet_eval-irony,mean,0.6500761505937191,0.4752351833930183
150,tweet_eval-irony,std,0.07866630986564752,0.11142579376845231
151,,,,
152,wiki_split,wiki_split_32_100,0.8827041057465871,0.8640655098537178
153,wiki_split,wiki_split_32_13,0.8816167521001712,0.875881152861064
154,wiki_split,wiki_split_32_21,0.8877859906711103,0.8559979525715258
155,wiki_split,wiki_split_32_42,0.8988948886544594,0.8775820991670775
156,wiki_split,wiki_split_32_87,0.8797517490104954,0.8790033220992002
157,wiki_split,mean,0.8861506972365646,0.870506007310517
158,wiki_split,std,0.006906095703239828,0.008979212482958902
159,,,,
160,yelp_polarity,yelp_polarity_16_100,1.0,0.9345609679088348
161,yelp_polarity,yelp_polarity_16_13,0.9372549019607844,0.960512530724888
162,yelp_polarity,yelp_polarity_16_21,1.0,0.9535154302417403
163,yelp_polarity,yelp_polarity_16_42,1.0,0.950460981921032
164,yelp_polarity,yelp_polarity_16_87,1.0,0.9614432023377042
165,yelp_polarity,mean,0.987450980392157,0.9520986226268399
166,yelp_polarity,std,0.02509803921568623,0.009699211961412334
167,,,,
