,task,entry,dev_performance,test_performance
0,ag_news,ag_news_16_100,0.8771698686013202,0.7961513243999259
1,ag_news,ag_news_16_13,0.7979790706605223,0.5663431992189852
2,ag_news,ag_news_16_21,0.8765236837226549,0.8368062965515723
3,ag_news,ag_news_16_42,0.8603878648233487,0.8181916359707473
4,ag_news,ag_news_16_87,0.8767492884250475,0.8359155393752549
5,ag_news,mean,0.8577619552465787,0.7706815991032971
6,ag_news,std,0.0305616657529018,0.10323568642009841
7,,,,
8,crawl_domain,crawl_domain_32_100,0.78125,0.5995903737839222
9,crawl_domain,crawl_domain_32_13,0.5625,0.5924219150025601
10,crawl_domain,crawl_domain_32_21,0.6875,0.5990783410138248
11,crawl_domain,crawl_domain_32_42,0.75,0.601126472094214
12,crawl_domain,crawl_domain_32_87,0.78125,0.6067588325652842
13,crawl_domain,mean,0.7125,0.5997951868919611
14,crawl_domain,std,0.08244316223920574,0.004586624818547614
15,,,,
16,ethos-disability,ethos-disability_16_100,0.9372549019607844,0.8104575163398693
17,ethos-disability,ethos-disability_16_13,0.9687194525904204,0.8141025641025641
18,ethos-disability,ethos-disability_16_21,0.9687194525904204,0.9674035219183216
19,ethos-disability,ethos-disability_16_42,0.9372549019607844,0.8365100671140939
20,ethos-disability,ethos-disability_16_87,0.9687194525904204,0.6847826086956522
21,ethos-disability,mean,0.9561336323385661,0.8226512556341001
22,ethos-disability,std,0.015414418805715042,0.08986079953302396
23,,,,
24,ethos-sexual_orientation,ethos-sexual_orientation_16_100,0.9372549019607844,0.7739085239085238
25,ethos-sexual_orientation,ethos-sexual_orientation_16_13,0.8125,0.6233766233766234
26,ethos-sexual_orientation,ethos-sexual_orientation_16_21,0.8745098039215686,0.6271148206632078
27,ethos-sexual_orientation,ethos-sexual_orientation_16_42,0.716256157635468,0.4978354978354978
28,ethos-sexual_orientation,ethos-sexual_orientation_16_87,0.9372549019607844,0.6710084033613446
29,ethos-sexual_orientation,mean,0.8555551530957212,0.6386487738290395
30,ethos-sexual_orientation,std,0.08362647076313842,0.08892355702077913
31,,,,
32,glue-cola,glue-cola_16_100,0.3779644730092272,0.0810957056020092
33,glue-cola,glue-cola_16_13,0.0755928946018454,0.0270481230279465
34,glue-cola,glue-cola_16_21,0.2581988897471611,0.1391041365401982
35,glue-cola,glue-cola_16_42,0.25,0.1154539034588277
36,glue-cola,glue-cola_16_87,0.6888467201936644,0.0569935636606684
37,glue-cola,mean,0.33012059551037964,0.08393908645793
38,glue-cola,std,0.2036417743288569,0.040017731506622196
39,,,,
40,samsum,samsum_32_100,0.4228183406335267,0.3625497858733508
41,samsum,samsum_32_13,0.3707147129449711,0.3368420930485102
42,samsum,mean,0.3967665267892489,0.34969593946093047
43,samsum,std,0.026051813844277794,0.012853846412420294
44,,,,
45,superglue-rte,superglue-rte_16_100,0.65625,0.5306859205776173
46,superglue-rte,superglue-rte_16_13,0.71875,0.5126353790613718
47,superglue-rte,superglue-rte_16_21,0.6875,0.4873646209386281
48,superglue-rte,superglue-rte_16_42,0.65625,0.5018050541516246
49,superglue-rte,superglue-rte_16_87,0.6875,0.5054151624548736
50,superglue-rte,mean,0.68125,0.5075812274368231
51,superglue-rte,std,0.023385358667337132,0.014185474876814815
52,,,,
53,wiki_split,wiki_split_32_100,0.8799148664527129,0.8692763079463144
54,wiki_split,wiki_split_32_13,0.8816673700225732,0.8797511599866328
55,wiki_split,wiki_split_32_21,0.8837743543995376,0.8450853203091492
56,wiki_split,wiki_split_32_42,0.8984384383588884,0.8817829101705774
57,wiki_split,wiki_split_32_87,0.8659655084956992,0.8690101236769696
58,wiki_split,mean,0.8819521075458823,0.8689811644179286
59,wiki_split,std,0.010343330829009807,0.013045894472035944
60,,,,
