,task,entry,dev_performance,test_performance
0,ag_news,ag_news_16_100,0.8732112794612795,0.6779712948137749
1,ag_news,ag_news_16_13,0.8094426406926407,0.6678265412296157
2,ag_news,ag_news_16_21,0.8915621734587252,0.6510108478431883
3,ag_news,ag_news_16_42,0.8743727598566308,0.6783155082730328
4,ag_news,ag_news_16_87,0.8455522971652005,0.4729832774936703
5,ag_news,mean,0.8588282301268955,0.6296214939306565
6,ag_news,std,0.0287583114890203,0.07894488105847539
7,,,,
8,crawl_domain,crawl_domain_32_100,0.8125,0.6077828981054787
9,crawl_domain,crawl_domain_32_13,0.71875,0.5995903737839222
10,crawl_domain,crawl_domain_32_21,0.71875,0.6041986687147978
11,crawl_domain,crawl_domain_32_42,0.78125,0.6195596518177163
12,crawl_domain,crawl_domain_32_87,0.75,0.6021505376344086
13,crawl_domain,mean,0.75625,0.6066564260112647
14,crawl_domain,std,0.03644344934278313,0.006986198832897285
15,,,,
16,ethos-disability,ethos-disability_16_100,0.906158357771261,0.6375
17,ethos-disability,ethos-disability_16_13,0.9687194525904204,0.7932088285229202
18,ethos-disability,ethos-disability_16_21,0.9375,0.887012987012987
19,ethos-disability,ethos-disability_16_42,0.75,0.5396825396825397
20,ethos-disability,ethos-disability_16_87,0.7810361681329424,0.4898148148148147
21,ethos-disability,mean,0.8686827956989248,0.6694438340066522
22,ethos-disability,std,0.08708053215395849,0.15018594926226675
23,,,,
24,ethos-sexual_orientation,ethos-sexual_orientation_16_100,0.875,0.6447453255963893
25,ethos-sexual_orientation,ethos-sexual_orientation_16_13,0.6825396825396826,0.5145863223338115
26,ethos-sexual_orientation,ethos-sexual_orientation_16_21,0.7046153846153846,0.6159592529711375
27,ethos-sexual_orientation,ethos-sexual_orientation_16_42,0.7184750733137829,0.4236751152073733
28,ethos-sexual_orientation,ethos-sexual_orientation_16_87,0.7117117117117117,0.5773161333556709
29,ethos-sexual_orientation,mean,0.7384683704361124,0.5552564298928765
30,ethos-sexual_orientation,std,0.06932615576545562,0.0789270875226023
31,,,,
32,glue-cola,glue-cola_16_100,0.4865336327998411,-0.004364490210845
33,glue-cola,glue-cola_16_13,0.1796053020267749,-0.0183894655707579
34,glue-cola,glue-cola_16_21,0.3779644730092272,0.0388926809181568
35,glue-cola,glue-cola_16_42,0.2581988897471611,0.0296612586097573
36,glue-cola,glue-cola_16_87,0.4803844614152613,0.0220187252119115
37,glue-cola,mean,0.35653735179965307,0.01356374179164454
38,glue-cola,std,0.12138506045888163,0.021515579997298494
39,,,,
40,samsum,samsum_32_100,0.417273607598225,0.3811512634590928
41,samsum,samsum_32_13,0.3996633161444629,0.3550001222369678
42,samsum,mean,0.40846846187134395,0.3680756928480303
43,samsum,std,0.00880514572688107,0.013075570611062487
44,,,,
45,superglue-rte,superglue-rte_16_100,0.59375,0.4729241877256318
46,superglue-rte,superglue-rte_16_13,0.71875,0.51985559566787
47,superglue-rte,superglue-rte_16_21,0.59375,0.483754512635379
48,superglue-rte,superglue-rte_16_42,0.65625,0.5126353790613718
49,superglue-rte,superglue-rte_16_87,0.59375,0.4909747292418772
50,superglue-rte,mean,0.63125,0.49602888086642594
51,superglue-rte,std,0.049999999999999996,0.017626795112972847
52,,,,
53,wiki_split,wiki_split_32_100,0.8881174045790765,0.8700005842618092
54,wiki_split,wiki_split_32_13,0.8744098162476397,0.8836548640595058
55,wiki_split,wiki_split_32_21,0.8900695411586976,0.868122156187045
56,wiki_split,wiki_split_32_42,0.9008048506236896,0.8882697039330832
57,wiki_split,wiki_split_32_87,0.8746546040587706,0.8700125024181227
58,wiki_split,mean,0.8856112433335749,0.8760119621719131
59,wiki_split,std,0.010025197046760559,0.008283059851784232
60,,,,
