,task,entry,dev_performance,test_performance
0,ag_news,ag_news_16_100,0.8755695263999017,0.2095949965456735
1,ag_news,ag_news_16_13,0.8096408430143218,0.2853395242272073
2,ag_news,ag_news_16_21,0.906628787878788,0.4218667370966807
3,ag_news,ag_news_16_42,0.8591971062618596,0.2664044954236699
4,ag_news,ag_news_16_87,0.862501986334022,0.4155823924318914
5,ag_news,mean,0.8627076499777786,0.31975762914502454
6,ag_news,std,0.03137816577057995,0.08458797033965203
7,,,,
8,ai2_arc,ai2_arc_32_100,0.34375,0.2408026755852843
9,ai2_arc,ai2_arc_32_13,0.4375,0.2274247491638795
10,ai2_arc,ai2_arc_32_21,0.28125,0.2675585284280936
11,ai2_arc,ai2_arc_32_42,0.40625,0.2408026755852843
12,ai2_arc,ai2_arc_32_87,0.3125,0.2474916387959866
13,ai2_arc,mean,0.35625,0.24481605351170566
14,ai2_arc,std,0.05796011559684815,0.013107637419575536
15,,,,
16,crawl_domain,crawl_domain_32_100,0.78125,0.5975422427035331
17,crawl_domain,crawl_domain_32_13,0.59375,0.5837173579109063
18,crawl_domain,crawl_domain_32_21,0.71875,0.6026625704045059
19,crawl_domain,crawl_domain_32_42,0.71875,0.6149513568868408
20,crawl_domain,crawl_domain_32_87,0.75,0.6072708653353814
21,crawl_domain,mean,0.7125,0.6012288786482334
22,crawl_domain,std,0.0637377439199098,0.010460517456716228
23,,,,
24,ethos-sexual_orientation,ethos-sexual_orientation_16_100,0.9375,0.7448680351906158
25,ethos-sexual_orientation,ethos-sexual_orientation_16_13,0.906158357771261,0.6739001775498126
26,ethos-sexual_orientation,ethos-sexual_orientation_16_21,0.8435972629521017,0.5743639921722113
27,ethos-sexual_orientation,ethos-sexual_orientation_16_42,0.9054187192118226,0.7745465015836452
28,ethos-sexual_orientation,ethos-sexual_orientation_16_87,0.906158357771261,0.7180555555555556
29,ethos-sexual_orientation,mean,0.8997665395412893,0.6971468524103681
30,ethos-sexual_orientation,std,0.030634815117247662,0.06974414599898816
31,,,,
32,samsum,samsum_32_100,0.4335961853720349,0.3784611229485208
33,samsum,samsum_32_13,0.4114839816142803,0.3411098650878438
34,samsum,samsum_32_21,0.3790171557318729,0.3799337022617771
35,samsum,samsum_32_42,0.3614194000577618,0.3842960812193433
36,samsum,mean,0.3963791806939875,0.3709501928793712
37,samsum,std,0.028003957849586165,0.01736141850207116
38,,,,
39,superglue-rte,superglue-rte_16_100,0.75,0.5812274368231047
40,superglue-rte,superglue-rte_16_13,0.59375,0.516245487364621
41,superglue-rte,superglue-rte_16_21,0.65625,0.5451263537906137
42,superglue-rte,superglue-rte_16_42,0.59375,0.5126353790613718
43,superglue-rte,superglue-rte_16_87,0.71875,0.5306859205776173
44,superglue-rte,mean,0.6625,0.5371841155234657
45,superglue-rte,std,0.06373774391990981,0.0248442606990401
46,,,,
47,wiki_split,wiki_split_32_100,0.8667828324585463,0.8603278770547631
48,wiki_split,wiki_split_32_13,0.8798817219904627,0.880744077842007
49,wiki_split,wiki_split_32_21,0.8938935264791747,0.8655929640042436
50,wiki_split,wiki_split_32_42,0.9047391949769016,0.8730889769872987
51,wiki_split,wiki_split_32_87,0.8712654455453623,0.8853388012945743
52,wiki_split,mean,0.8833125442900895,0.8730185394365775
53,wiki_split,std,0.014150569223823387,0.0092484575961877
54,,,,
