,task,entry,dev_performance,test_performance
0,ag_news,ag_news_16_100,0.8900293255131966,0.237273021088561
1,ag_news,ag_news_16_13,0.8249766573295986,0.4848884313873735
2,ag_news,ag_news_16_21,0.8905024509803923,0.3377023589892614
3,ag_news,ag_news_16_42,0.8754503054075679,0.3695843742705042
4,ag_news,ag_news_16_87,0.891540368928439,0.4857064170705223
5,ag_news,mean,0.8744998216318389,0.3830309205612445
6,ag_news,std,0.025460075062538858,0.09423169684893158
7,,,,
8,ai2_arc,ai2_arc_32_100,0.375,0.2575250836120401
9,ai2_arc,ai2_arc_32_13,0.375,0.2374581939799331
10,ai2_arc,ai2_arc_32_21,0.34375,0.2107023411371237
11,ai2_arc,ai2_arc_32_42,0.46875,0.2541806020066889
12,ai2_arc,ai2_arc_32_87,0.3125,0.2642140468227424
13,ai2_arc,mean,0.375,0.2448160535117056
14,ai2_arc,std,0.05229125165837972,0.019200936581146914
15,,,,
16,amazon_polarity,amazon_polarity_16_100,1.0,0.9529999529999528
17,amazon_polarity,amazon_polarity_16_13,1.0,0.9338719761458184
18,amazon_polarity,amazon_polarity_16_21,0.9375,0.9369893512003528
19,amazon_polarity,amazon_polarity_16_42,1.0,0.9449598757494212
20,amazon_polarity,amazon_polarity_16_87,0.9687194525904204,0.9340000000000002
21,amazon_polarity,mean,0.981243890518084,0.9405642312191091
22,amazon_polarity,std,0.025003057540048484,0.007411127359043631
23,,,,
24,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_100,1.0,1.0
25,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_13,1.0,1.0
26,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_21,1.0,1.0
27,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_42,1.0,1.0
28,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_87,1.0,1.0
29,blimp-sentential_negation_npi_licensor_present,mean,1.0,1.0
30,blimp-sentential_negation_npi_licensor_present,std,0.0,0.0
31,,,,
32,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_100,1.0,1.0
33,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_13,1.0,1.0
