,task,entry,dev_performance,test_performance
0,ag_news,ag_news_16_100,0.9221177290142808,0.6777319254323151
1,ag_news,ag_news_16_13,0.8151372504537204,0.8529114947472227
2,ag_news,ag_news_16_21,0.8778823004038522,0.8550303958268342
3,ag_news,ag_news_16_42,0.9220862135176652,0.8558527178473627
4,ag_news,ag_news_16_87,0.876605715600023,0.83858667991765
5,ag_news,mean,0.8827658417979084,0.816022642754277
6,ag_news,std,0.03931942308373929,0.06942951152583568
7,,,,
8,ai2_arc,ai2_arc_32_100,0.3125,0.2240802675585284
9,ai2_arc,ai2_arc_32_13,0.40625,0.2408026755852843
10,ai2_arc,ai2_arc_32_21,0.375,0.2742474916387959
11,ai2_arc,ai2_arc_32_42,0.46875,0.2240802675585284
12,ai2_arc,ai2_arc_32_87,0.375,0.2642140468227424
13,ai2_arc,mean,0.3875,0.24548494983277588
14,ai2_arc,std,0.05077524002897475,0.020573319731410952
15,,,,
16,amazon_polarity,amazon_polarity_16_100,1.0,0.953997055811572
17,amazon_polarity,amazon_polarity_16_13,1.0,0.9459299251830372
18,amazon_polarity,amazon_polarity_16_21,0.9687194525904204,0.9349525804311344
19,amazon_polarity,amazon_polarity_16_42,0.9687194525904204,0.947953157842058
20,amazon_polarity,amazon_polarity_16_87,0.9687194525904204,0.9318680966350856
21,amazon_polarity,mean,0.9812316715542522,0.9429401631805774
22,amazon_polarity,std,0.01532427600568165,0.008279079691943138
23,,,,
24,anli,anli_16_100,0.428950159066808,0.2219294876506909
25,anli,anli_16_13,0.4050694050694051,0.3174254378086354
26,anli,anli_16_21,0.404040404040404,0.3127489587344899
27,anli,anli_16_42,0.3641192411924119,0.2585666157270264
28,anli,anli_16_87,0.4645773979107312,0.2108792257235906
29,anli,mean,0.413351321455952,0.2643099451288866
30,anli,std,0.033004592689470674,0.0443881163973944
31,,,,
32,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_100,1.0,1.0
33,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_13,1.0,1.0
34,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_21,1.0,1.0
35,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_42,1.0,1.0
36,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_87,1.0,1.0
37,blimp-sentential_negation_npi_licensor_present,mean,1.0,1.0
38,blimp-sentential_negation_npi_licensor_present,std,0.0,0.0
39,,,,
40,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_100,0.75,0.55
41,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_13,0.90625,0.7
42,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_21,0.71875,0.44
43,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_42,1.0,0.975
