,task,entry,dev_performance,test_performance
0,ag_news,ag_news_16_100,0.9059561128526646,0.8596359620906577
1,ag_news,ag_news_16_13,0.8145442988602054,0.8564568846420719
2,ag_news,ag_news_16_21,0.8915621734587252,0.8402148782681139
3,ag_news,ag_news_16_42,0.8911874143728982,0.8277743383834797
4,ag_news,ag_news_16_87,0.8614542004485078,0.6814097181135522
5,ag_news,mean,0.8729408399986003,0.8130983562995752
6,ag_news,std,0.03259386041247727,0.06684055411781069
7,,,,
8,ai2_arc,ai2_arc_32_100,0.375,0.1906354515050167
9,ai2_arc,ai2_arc_32_13,0.34375,0.2408026755852843
10,ai2_arc,ai2_arc_32_21,0.375,0.2742474916387959
11,ai2_arc,ai2_arc_32_42,0.375,0.2341137123745819
12,ai2_arc,ai2_arc_32_87,0.34375,0.197324414715719
13,ai2_arc,mean,0.3625,0.22742474916387959
14,ai2_arc,std,0.015309310892394862,0.03057961057033434
15,,,,
16,amazon_polarity,amazon_polarity_16_100,1.0,0.9489815823512288
17,amazon_polarity,amazon_polarity_16_13,1.0,0.923667495610881
18,amazon_polarity,amazon_polarity_16_21,0.9687194525904204,0.919766037766126
19,amazon_polarity,amazon_polarity_16_42,1.0,0.940999468995221
20,amazon_polarity,amazon_polarity_16_87,0.9687194525904204,0.935987453540894
21,amazon_polarity,mean,0.9874877810361682,0.9338804076528702
22,amazon_polarity,std,0.015324276005681649,0.01083222196705714
23,,,,
24,anli,anli_16_100,0.3423171455208068,0.0131436793658178
25,anli,anli_16_13,0.397066297066297,0.2326907541843661
26,anli,anli_16_21,0.3517126148705096,0.1579058935096086
27,anli,anli_16_42,0.3982456140350877,0.2232320812298565
28,anli,anli_16_87,0.3830748041274356,0.0495022711822388
29,anli,mean,0.37448329512402734,0.13529493589437758
30,anli,std,0.023244865511402063,0.08945552318814402
31,,,,
32,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_100,1.0,1.0
33,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_13,1.0,1.0
34,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_21,1.0,1.0
35,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_42,1.0,1.0
36,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_87,1.0,1.0
37,blimp-sentential_negation_npi_licensor_present,mean,1.0,1.0
38,blimp-sentential_negation_npi_licensor_present,std,0.0,0.0
39,,,,
40,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_100,1.0,1.0
41,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_13,1.0,1.0
42,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_21,1.0,1.0
43,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_42,1.0,0.965
44,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_87,1.0,1.0
45,blimp-sentential_negation_npi_scope,mean,1.0,0.993
46,blimp-sentential_negation_npi_scope,std,0.0,0.014000000000000012
47,,,,
48,break-QDMR,break-QDMR_32_100,0.125,0.0332474226804123
49,break-QDMR,break-QDMR_32_13,0.0,0.0208762886597938
50,break-QDMR,break-QDMR_32_21,0.125,0.0284793814432989
51,break-QDMR,break-QDMR_32_42,0.0625,0.0279639175257731
52,break-QDMR,break-QDMR_32_87,0.09375,0.0273195876288659
53,break-QDMR,mean,0.08125,0.027577319587628803
54,break-QDMR,std,0.046770717334674264,0.003951796652116463
55,,,,
56,circa,circa_16_100,0.6622382076355325,0.0496475850017178
57,circa,circa_16_13,0.6042205345431152,0.1491854027525739
58,circa,circa_16_21,0.4671353918463077,0.1082741290702432
59,circa,circa_16_42,0.687560992138791,0.200038184157498
60,circa,circa_16_87,0.6350083332397014,0.1742133826556383
61,circa,mean,0.6112326918806895,0.13627173672753426
62,circa,std,0.07720887955082154,0.0528395699841077
63,,,,
64,crawl_domain,crawl_domain_32_100,0.84375,0.5878136200716846
65,crawl_domain,crawl_domain_32_13,0.59375,0.5847414234511009
66,crawl_domain,crawl_domain_32_21,0.6875,0.5842293906810035
67,crawl_domain,crawl_domain_32_42,0.71875,0.6185355862775218
68,crawl_domain,crawl_domain_32_87,0.75,0.6001024065540195
69,crawl_domain,mean,0.71875,0.595084485407066
70,crawl_domain,std,0.08149003006503311,0.01305994762267681
71,,,,
72,dbpedia_14,dbpedia_14_16_100,0.9865800865800864,0.5652822323861452
73,dbpedia_14,dbpedia_14_16_13,0.9818181818181818,0.8062918126661363
74,dbpedia_14,dbpedia_14_16_21,0.99553135037006,0.7992199039145549
75,dbpedia_14,dbpedia_14_16_42,0.9185272075594656,0.6288594732186065
76,dbpedia_14,dbpedia_14_16_87,0.9865984150258345,0.5938194005357315
77,dbpedia_14,mean,0.9738110482707256,0.6786945645442348
78,dbpedia_14,std,0.027995549084083728,0.10330256728373581
79,,,,
80,emo,emo_16_100,0.7186624268277494,0.1328521273657111
81,emo,emo_16_13,0.797498309668695,0.3582578733485007
82,emo,emo_16_21,0.8129177564661436,0.2485822531052232
83,emo,emo_16_42,0.7479155885227992,0.1795629125061353
84,emo,emo_16_87,0.8228728991596639,0.0813055437711975
85,emo,mean,0.7799733961290103,0.20011214201935354
86,emo,std,0.040048867195091466,0.09635415112842954
87,,,,
88,ethos-disability,ethos-disability_16_100,0.906158357771261,0.7897986577181209
89,ethos-disability,ethos-disability_16_13,0.9687194525904204,0.8522920203735144
90,ethos-disability,ethos-disability_16_21,0.9687194525904204,0.7724137931034483
91,ethos-disability,ethos-disability_16_42,0.9687194525904204,0.6710084033613446
92,ethos-disability,ethos-disability_16_87,0.906158357771261,0.6233766233766234
93,ethos-disability,mean,0.9436950146627566,0.7417778995866104
94,ethos-disability,std,0.03064855201136335,0.08304830628078337
95,,,,
96,ethos-race,ethos-race_16_100,0.875,0.644771879992899
97,ethos-race,ethos-race_16_13,0.9054187192118226,0.5972222222222222
98,ethos-race,ethos-race_16_21,0.875,0.7566433566433567
99,ethos-race,ethos-race_16_42,0.9375,0.7851851851851852
100,ethos-race,ethos-race_16_87,0.7810361681329424,0.7675231243576568
101,ethos-race,mean,0.8747909774689531,0.710269153680264
102,ethos-race,std,0.0522695546671979,0.07498066045026945
103,,,,
104,ethos-religion,ethos-religion_16_100,0.9687194525904204,0.9372294372294372
105,ethos-religion,ethos-religion_16_13,0.8745098039215686,0.9105858170606372
106,ethos-religion,ethos-religion_16_21,0.9687194525904204,0.9202273977626996
107,ethos-religion,ethos-religion_16_42,0.9054187192118226,0.9173789173789174
108,ethos-religion,ethos-religion_16_87,0.9687194525904204,0.9227764956506302
109,ethos-religion,mean,0.9372173761809304,0.9216396130164644
110,ethos-religion,std,0.03980084586545893,0.008793968448739163
111,,,,
112,ethos-sexual_orientation,ethos-sexual_orientation_16_100,0.8095238095238095,0.6011369888134972
113,ethos-sexual_orientation,ethos-sexual_orientation_16_13,0.906158357771261,0.686039886039886
114,ethos-sexual_orientation,ethos-sexual_orientation_16_21,0.8435972629521017,0.8305194805194805
115,ethos-sexual_orientation,ethos-sexual_orientation_16_42,0.875,0.6052475833497732
116,ethos-sexual_orientation,ethos-sexual_orientation_16_87,0.7184750733137829,0.6553697183098591
117,ethos-sexual_orientation,mean,0.8305509007121911,0.6756627314064991
118,ethos-sexual_orientation,std,0.06459960868149876,0.08368092237727248
119,,,,
120,financial_phrasebank,financial_phrasebank_16_100,0.915876027830487,0.8020834948195231
121,financial_phrasebank,financial_phrasebank_16_13,0.9374389051808408,0.8503227752639516
122,financial_phrasebank,financial_phrasebank_16_21,0.9791463017269468,0.8490032736489616
123,financial_phrasebank,financial_phrasebank_16_42,0.9153439153439152,0.8247805302042591
124,financial_phrasebank,financial_phrasebank_16_87,0.9384536610343064,0.7890484642683201
125,financial_phrasebank,mean,0.9372517622232992,0.8230477076410031
126,financial_phrasebank,std,0.023209945278624574,0.024560415972881514
127,,,,
128,freebase_qa,freebase_qa_32_100,0.03125,0.0080120180270405
129,freebase_qa,freebase_qa_32_13,0.0,0.0077616424636955
130,freebase_qa,freebase_qa_32_21,0.03125,0.0040060090135202
131,freebase_qa,freebase_qa_32_42,0.0,0.0052578868302453
132,freebase_qa,freebase_qa_32_87,0.03125,0.0067601402103154
133,freebase_qa,mean,0.01875,0.00635953930896338
134,freebase_qa,std,0.015309310892394864,0.0015237981026242397
135,,,,
136,glue-cola,glue-cola_16_100,0.3216337604513384,0.0196701523410421
137,glue-cola,glue-cola_16_13,0.25,0.027399733505765
138,glue-cola,glue-cola_16_21,0.3289758474798845,0.058713758808961
139,glue-cola,glue-cola_16_42,0.2581988897471611,0.0558516524323357
140,glue-cola,glue-cola_16_87,0.5726562866782,-0.0015552588552056
141,glue-cola,mean,0.3462929568713168,0.03201600764657964
142,glue-cola,std,0.1176275592984146,0.022722974911676887
143,,,,
144,glue-qnli,glue-qnli_16_100,0.6875,0.5667215815485996
145,glue-qnli,glue-qnli_16_13,0.75,0.603880651656599
146,glue-qnli,glue-qnli_16_21,0.84375,0.5427420831045213
147,glue-qnli,glue-qnli_16_42,0.59375,0.5121727988284825
148,glue-qnli,glue-qnli_16_87,0.59375,0.5317591067179206
149,glue-qnli,mean,0.69375,0.5514552443712246
150,glue-qnli,std,0.09560661587986471,0.03158623727317536
151,,,,
152,hatexplain,hatexplain_16_100,0.4958889924407165,0.1945367795096576
153,hatexplain,hatexplain_16_13,0.590846429556107,0.2003176731114866
154,hatexplain,hatexplain_16_21,0.5158283283283284,0.1455383754120737
155,hatexplain,hatexplain_16_42,0.4678174678174678,0.0654928378539168
156,hatexplain,hatexplain_16_87,0.4848484848484848,0.1028444576070227
157,hatexplain,mean,0.511045940598221,0.14174602469883146
158,hatexplain,std,0.04283860383925637,0.05207641335846516
159,,,,
160,quoref,quoref_32_100,0.5625,0.3415239181368213
161,quoref,quoref_32_13,0.5333333333333333,0.3473328344296086
162,quoref,quoref_32_21,0.4624999999999999,0.3233683729651471
163,quoref,quoref_32_42,0.3672619047619047,0.3289879475363346
164,quoref,quoref_32_87,0.5,0.3865352091158542
165,quoref,mean,0.48511904761904756,0.34554965643675317
166,quoref,std,0.06772857494400412,0.022205861204533626
167,,,,
168,race-high,race-high_32_100,0.34375,0.2547087800637496
169,race-high,race-high_32_13,0.40625,0.2393509127789046
170,race-high,race-high_32_21,0.34375,0.2587655751955954
171,race-high,race-high_32_42,0.46875,0.2648507678933642
172,race-high,race-high_32_87,0.40625,0.2376122862938278
173,race-high,mean,0.39375,0.2510576644450883
174,race-high,std,0.046770717334674264,0.010777926185844323
175,,,,
176,samsum,samsum_32_100,0.4205702408650286,0.3774734309154
177,samsum,samsum_32_13,0.3955271366862414,0.3337531669829346
178,samsum,samsum_32_21,0.3809029849996968,0.3679788146627558
179,samsum,samsum_32_42,0.3739855832726831,0.3661698961021837
180,samsum,samsum_32_87,0.4256812920810144,0.3677332260718858
181,samsum,mean,0.39933344758093287,0.362621706947032
182,samsum,std,0.020697316141793463,0.014975861788983186
183,,,,
184,superglue-cb,superglue-cb_16_100,0.53125,0.3035714285714285
185,superglue-cb,superglue-cb_16_13,0.5625,0.4821428571428571
186,superglue-cb,superglue-cb_16_21,0.8125,0.5535714285714286
187,superglue-cb,superglue-cb_16_42,0.6875,0.4285714285714285
188,superglue-cb,superglue-cb_16_87,0.65625,0.4821428571428571
189,superglue-cb,mean,0.65,0.45
190,superglue-cb,std,0.09960860906568267,0.08329931278350433
191,,,,
192,superglue-rte,superglue-rte_16_100,0.59375,0.5487364620938628
193,superglue-rte,superglue-rte_16_13,0.625,0.5090252707581228
194,superglue-rte,superglue-rte_16_21,0.6875,0.5054151624548736
195,superglue-rte,superglue-rte_16_42,0.65625,0.5379061371841155
196,superglue-rte,superglue-rte_16_87,0.59375,0.5306859205776173
197,superglue-rte,mean,0.63125,0.5263537906137185
198,superglue-rte,std,0.03644344934278313,0.016684794235799782
199,,,,
200,tab_fact,tab_fact_16_100,0.625,0.4886448609118913
201,tab_fact,tab_fact_16_13,0.6476476476476476,0.4935992708366108
202,tab_fact,tab_fact_16_21,0.5844155844155844,0.2292545571166318
203,tab_fact,tab_fact_16_42,0.5625,0.3291822186194487
204,tab_fact,tab_fact_16_87,0.6825396825396826,0.409410960869942
