,task,entry,dev_performance,test_performance
0,ag_news,ag_news_16_100,0.9055871212121211,0.8470981870897776
1,ag_news,ag_news_16_13,0.8445900537634409,0.856239787026194
2,ag_news,ag_news_16_21,0.9069163207094242,0.8115487462564036
3,ag_news,ag_news_16_42,0.93741105313093,0.8675583981995058
4,ag_news,ag_news_16_87,0.8738351254480288,0.8293951205906255
5,ag_news,mean,0.893667934852789,0.8423680478325013
6,ag_news,std,0.031727041680799525,0.019836730114234848
7,,,,
8,ai2_arc,ai2_arc_32_100,0.28125,0.217391304347826
9,ai2_arc,ai2_arc_32_13,0.34375,0.2608695652173913
10,ai2_arc,ai2_arc_32_21,0.40625,0.2073578595317725
11,ai2_arc,ai2_arc_32_42,0.375,0.2240802675585284
12,ai2_arc,ai2_arc_32_87,0.375,0.2274247491638795
13,ai2_arc,mean,0.35625,0.22742474916387953
14,ai2_arc,std,0.042389562394532926,0.01807258339278437
15,,,,
16,crawl_domain,crawl_domain_32_100,0.78125,0.601126472094214
17,crawl_domain,crawl_domain_32_13,0.625,0.583205325140809
18,crawl_domain,crawl_domain_32_21,0.65625,0.5852534562211982
19,crawl_domain,crawl_domain_32_42,0.75,0.6303123399897593
20,crawl_domain,crawl_domain_32_87,0.75,0.6026625704045059
21,crawl_domain,mean,0.7125,0.6005120327700972
22,crawl_domain,std,0.06059599821770412,0.016884353380870402
23,,,,
24,ethos-disability,ethos-disability_16_100,0.8435972629521017,0.7056169636814797
25,ethos-disability,ethos-disability_16_13,0.716256157635468,0.5787852112676056
26,ethos-disability,ethos-disability_16_21,0.716256157635468,0.4236751152073733
27,ethos-disability,ethos-disability_16_42,0.8125,0.6244604316546762
28,ethos-disability,ethos-disability_16_87,0.8745098039215686,0.3602941176470588
29,ethos-disability,mean,0.7926238764289212,0.5385663678916387
30,ethos-disability,std,0.06536468234546443,0.1279704983631743
31,,,,
32,ethos-sexual_orientation,ethos-sexual_orientation_16_100,0.75,0.7310344827586206
33,ethos-sexual_orientation,ethos-sexual_orientation_16_13,0.746031746031746,0.6011369888134972
34,ethos-sexual_orientation,ethos-sexual_orientation_16_21,0.8435972629521017,0.569227947918577
35,ethos-sexual_orientation,ethos-sexual_orientation_16_42,0.6862745098039216,0.4403508771929825
36,ethos-sexual_orientation,ethos-sexual_orientation_16_87,0.6559139784946237,0.4229918938835666
37,ethos-sexual_orientation,mean,0.7363634994564787,0.5529484381134487
38,ethos-sexual_orientation,std,0.06443530318040686,0.11302098236065723
39,,,,
40,glue-cola,glue-cola_16_100,0.5039526306789696,0.0836372140487959
41,glue-cola,glue-cola_16_13,0.2267786838055363,0.0388632824427151
42,glue-cola,glue-cola_16_21,0.5773502691896258,0.1267383607822834
43,glue-cola,glue-cola_16_42,0.1889822365046136,0.0034447868041286
44,glue-cola,glue-cola_16_87,0.592156525463792,0.0454564700886784
45,glue-cola,mean,0.41784406912850747,0.05962802283332027
46,glue-cola,std,0.17442790176141568,0.042116035150143394
47,,,,
48,samsum,samsum_32_100,0.4191089531912256,0.3586280032784529
49,samsum,samsum_32_13,0.4178431356938198,0.3247703671982445
50,samsum,mean,0.41847604444252273,0.3416991852383487
51,samsum,std,0.0006329087487028928,0.01692881804010421
52,,,,
53,wiki_split,wiki_split_32_100,0.8945024679620835,0.8525105251651773
54,wiki_split,wiki_split_32_13,0.8822691869355473,0.8860245995717628
55,wiki_split,wiki_split_32_21,0.8977607160775456,0.8689867711488641
56,wiki_split,wiki_split_32_42,0.899539709258657,0.8803841933874581
57,wiki_split,wiki_split_32_87,0.8815004444932999,0.8850816082127422
58,wiki_split,mean,0.8911145049454265,0.8745975394972009
59,wiki_split,std,0.007711086727662386,0.012595996868745081
60,,,,
