,task,entry,dev_performance,test_performance
0,ag_news,ag_news_16_100,0.9057922019382466,0.85434938187144
1,ag_news,ag_news_16_13,0.8263498361221321,0.8664026789517267
2,ag_news,ag_news_16_21,0.9069163207094242,0.8546387852931663
3,ag_news,ag_news_16_42,0.9374541788856304,0.8445415704016142
4,ag_news,ag_news_16_87,0.8763892653835729,0.8394046613163602
5,ag_news,mean,0.8905803606078011,0.8518674155668615
6,ag_news,std,0.03747630186775285,0.009317754873980245
7,,,,
8,ai2_arc,ai2_arc_32_100,0.28125,0.2675585284280936
9,ai2_arc,ai2_arc_32_13,0.375,0.2474916387959866
10,ai2_arc,ai2_arc_32_21,0.4375,0.2040133779264214
11,ai2_arc,ai2_arc_32_42,0.40625,0.217391304347826
12,ai2_arc,ai2_arc_32_87,0.34375,0.1906354515050167
13,ai2_arc,mean,0.36875,0.22541806020066887
14,ai2_arc,std,0.053764532919016415,0.02826828977808084
15,,,,
16,amazon_polarity,amazon_polarity_16_100,1.0,0.9349374749133916
17,amazon_polarity,amazon_polarity_16_13,0.9687194525904204,0.9319727891156462
18,amazon_polarity,amazon_polarity_16_21,0.9687194525904204,0.9228437586111876
19,amazon_polarity,amazon_polarity_16_42,0.9687194525904204,0.8859835816357555
20,amazon_polarity,amazon_polarity_16_87,0.9687194525904204,0.8998842662117407
21,amazon_polarity,mean,0.9749755620723363,0.9151243740975443
22,amazon_polarity,std,0.012512218963831857,0.019065485168243617
23,,,,
24,anli,anli_16_100,0.4440955869527297,0.1211650623034313
25,anli,anli_16_13,0.5029556650246305,0.1171959710116951
26,anli,anli_16_21,0.4530591846933676,0.133582237334129
27,anli,anli_16_42,0.379222952191137,0.1670257812703595
28,anli,anli_16_87,0.530974047859791,0.127436399547404
29,anli,mean,0.4620614873443311,0.13328109029340376
30,anli,std,0.05232076586054964,0.01776786123959405
31,,,,
32,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_100,1.0,1.0
33,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_13,1.0,1.0
34,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_21,1.0,1.0
35,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_42,1.0,1.0
36,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_87,1.0,1.0
37,blimp-sentential_negation_npi_licensor_present,mean,1.0,1.0
38,blimp-sentential_negation_npi_licensor_present,std,0.0,0.0
39,,,,
40,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_100,0.59375,0.465
41,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_13,0.8125,0.495
42,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_21,0.875,0.74
